country_idx,country_code,country_name,best_loss,nfev,nit,message,s_pi,beta_trade_off,sigma,h,kappa,nu,G,entry_threshold,nrmse_C,traj_corr_C,rank_products,nrmse_P,loss_total
0,ARG,Argentina,0.18211767755902628,14784,230,Optimization terminated successfully.,0.04221422772633904,0.9375878488234628,1.6225731797904823,4.1879978334357055,0.024428601698053685,0.2595094929591422,0.05817014123943265,11.758537722425139,0.03070518660708139,0.2153846153846154,0.2104902776590742,0.28601713438551385,0.18211767755902628
1,AUS,Australia,0.22379997441962296,4416,68,Optimization terminated successfully.,0.022054094987299405,0.008272727477053932,2.603901588215731,3.4213666779555005,0.044115701521051584,0.004802458131730136,0.20883274284111564,21.692072384362287,0.06688450861961949,0.2992307692307693,0.22714185380802238,0.3026207652174086,0.22379997441962296
2,BRA,Brazil,0.17876100660645305,3200,49,Optimization terminated successfully.,0.08146059733784111,0.5148721864941006,0.1719352877099305,4.9922612555144985,0.03530319331982157,0.19729563790833715,0.017213245153701928,36.20389103214467,0.040019617326190894,0.17076923076923078,0.2043866752481949,0.33214332116043677,0.17876100660645305
3,CAN,Canada,0.19456270789844737,7552,117,Optimization terminated successfully.,0.048638380793855296,0.9481968793495116,2.4517955253373396,3.3842726788215227,0.017751160211679336,0.9643448226926874,0.010557697109803144,0.4373371587966979,0.20081943112726,0.06307692307692303,0.19555702817104975,0.3827275807539651,0.19456270789844737
4,CHN,China,0.12649374103033512,2752,42,Optimization terminated successfully.,0.04480236408438888,0.45480771852679047,1.0794856333167002,4.940600912580168,0.0009992340499504274,0.09633148105812778,0.014759531999807063,26.790787274742947,0.10700710345704552,0.002307692307692344,0.1892121287600459,0.2587331264187728,0.12649374103033512
5,DEU,Germany,0.11202905012981383,6592,102,Optimization terminated successfully.,0.04808433968123245,0.22244335231972734,3.959826488860742,0.721682062515022,0.0007427610135660248,0.7579538458213867,0.013519826097104115,32.952868944292746,0.0331369020053872,0.1069230769230769,0.18353059279743927,0.12892626676092075,0.11202905012981383
6,FRA,France,0.16334351130090335,6976,108,Optimization terminated successfully.,0.05661339351320838,0.45582418567033656,2.043072633559827,4.518957072074033,0.0345986474032992,0.320895219675861,0.011437824406198893,9.95095290746317,0.1124869123729739,0.013076923076923097,0.18558378841349674,0.4245137959060439,0.16334351130090335
7,GBR,United Kingdom,0.190336563302261,19264,300,Maximum number of iterations has been exceeded.,0.06892911161524654,0.8293725873633846,0.7108809585007381,0.831616470434698,0.01500748257984084,0.15296091985061278,0.12026646453510825,32.43818253476411,0.25340558319437057,0.062307692307692286,0.23685563165480975,0.24539475948829112,0.190336563302261
8,IDN,Indonesia,0.22015182083907192,6784,105,Optimization terminated successfully.,0.03131380769736841,0.27633396900092555,2.4137530250121317,4.390601210301453,0.040112107564989556,0.5016852003145087,0.05574513783952517,37.953594169109856,0.04980861165067026,0.2815384615384616,0.22620885453967035,0.3334295791497414,0.22015182083907192
9,IND,India,0.14591102704253653,3200,49,Optimization terminated successfully.,0.005311154264702217,0.20637014774863427,3.997165592514829,4.800899030816046,0.04314833456961906,0.0035382998450962933,0.8416710869794064,37.57896963462993,0.04425509567870296,0.03076923076923066,0.23732121136641976,0.3314309052524332,0.14591102704253653
