country_idx,country_code,country_name,best_loss,nfev,nit,message,s_pi,beta_trade_off,G,nu,h_C,entry_threshold,kappa,sigma,h_P,s_pi_P,r_C_target,a_P,b_P,nrmse_C,traj_corr_C,rank_products,nrmse_P,loss_total
0,ARG,Argentina,0.1861973858419796,18060,300,Maximum number of iterations has been exceeded.,0.3653282293106297,0.32189812376559834,0.05817014123943265,0.2595094929591422,3.365464508790644,11.758537722425139,0.09721836446371745,1.0717582264360712,3.889299366770322,12.548768506350507,0.12071669512813754,-0.23408196824139166,0.6071484575139228,0.035823250589014456,0.3092307692307692,1.1102230246251565e-16,0.0,0.1861973858419796
1,AUS,Australia,0.11358361799294683,18060,300,Maximum number of iterations has been exceeded.,0.5385116404164993,0.04652220138343427,0.20883274284111564,0.004802458131730136,0.05126790126002989,21.692072384362287,0.08828053815069718,1.3835436630504598,1.9657032240816255,1.3850816860632413,0.20931938828434937,0.4249005613576905,0.6812395906909235,0.0568524844287708,0.15999999999999992,1.1102230246251565e-16,0.0,0.11358361799294683
2,BRA,Brazil,0.04131240241821805,18060,300,Maximum number of iterations has been exceeded.,0.14790793643480804,0.9979735053031751,0.017213245153701928,0.19729563790833715,3.7517886258402573,36.20389103214467,0.06423435557876289,3.6758911094146587,2.4567637553197357,39.34855210498742,0.5155490067767641,0.1222148185858486,0.5541513151624885,0.02975405665586914,0.05076923076923079,1.1102230246251565e-16,0.0,0.04131240241821805
3,CAN,Canada,0.2724971752007367,4620,76,Optimization terminated successfully.,0.9984142461913781,0.9589142632998974,0.010557697109803144,0.9643448226926874,4.272474563737681,0.4373371587966979,0.04394220018367978,0.09412696328656223,4.908166748638497,37.14338607992549,7.644801874686049,0.4590522870310745,0.5605507606745986,0.4579424406170218,0.12076923076923074,1.1102230246251565e-16,0.0,0.2724971752007367
4,CHN,China,0.0311050585411501,18060,300,Maximum number of iterations has been exceeded.,0.1322472045101944,0.930864607897698,0.014759531999807063,0.09633148105812778,2.1095184898403287,26.790787274742947,0.11629284179793747,3.5983728916437516,2.341905466188622,44.54607183397894,1.3762324699172335,-0.35060394819992446,0.49362407729685476,0.06818218137349598,0.0007692307692307443,1.1102230246251565e-16,0.0,0.0311050585411501
5,DEU,Germany,0.1607427812471172,1620,26,Optimization terminated successfully.,0.24574222071151114,0.10684264964603868,0.013519826097104115,0.7579538458213867,0.12299228244415161,32.952868944292746,0.12444916855291635,2.1691024654487867,4.7675010245238205,39.86057619421879,9.979160078417983,-0.3670518219473542,0.4059632479985917,0.053530966873935576,0.2484615384615385,1.1102230246251565e-16,0.0,0.1607427812471172
6,FRA,France,0.14048260346999267,18060,300,Maximum number of iterations has been exceeded.,0.09153356738639429,0.3459335439343112,0.011437824406198893,0.320895219675861,0.7018261253155249,9.95095290746317,0.14437615537920914,3.007336218420355,1.4183929025323516,2.75439743395674,2.974588258388297,0.2603530654313293,0.5289163706113538,0.26423484531793234,0.03923076923076929,1.1102230246251565e-16,0.0,0.14048260346999267
7,GBR,United Kingdom,0.33920742755065547,18060,300,Maximum number of iterations has been exceeded.,0.24676036400614199,0.5728246659715045,0.12026646453510825,0.15296091985061278,0.17431323368239005,32.43818253476411,0.04008324899781878,3.945381078775628,2.761118051039297,30.205236807475295,3.113342825003069,0.41259504991145624,0.4131830150869301,0.5497771894288072,0.16692307692307684,1.1102230246251565e-16,0.0,0.33920742755065547
8,IDN,Indonesia,0.1726270384109002,18060,300,Maximum number of iterations has been exceeded.,0.480850558486285,0.9604150786333774,0.05574513783952517,0.5016852003145087,0.803846449547388,37.953594169109856,0.033351878872241045,3.613598817181682,1.4349857536654647,34.521847182632015,0.5881433423647318,-0.10335132253864093,0.5068051711690471,0.11848743578490639,0.216923076923077,1.1102230246251565e-16,0.0,0.1726270384109002
9,IND,India,0.03180983472193265,18060,300,Maximum number of iterations has been exceeded.,0.02855177797680991,0.8531782109637596,0.8416710869794064,0.0035382998450962933,0.5014985745977825,37.57896963462993,0.0984444265112694,3.4339596064779574,1.4434828017747,42.44697139840633,0.26017490171332325,0.26058081613787076,0.6263778950216615,0.03778253869831184,0.02692307692307694,1.1102230246251565e-16,0.0,0.03180983472193265
