,ARG,AUS,BRA,CAN,CHN,DEU,FRA,GBR,IDN,IND,ITA,JPN,KOR,MEX,RUS,SAU,TUR,USA,ZAF
ARG,20.825468385288467,8.426285638071759,11.131407979247241,1.7948573960386454,0.20448060741114094,1.281802752841567,1.7403036165405625,1.7788821535704986,11.00927278194167,1.6904681346260928,2.8504534923203413,0.6409629281000728,1.8477638897732982,2.0043453260428854,0.659459477697936,2.1427661571208367,4.029434654913136,0.8753956297083398,2.053619988130815
AUS,31.43592834126985,-0.6749657375031356,6.105291365802174,2.2915445825701783,1.2949780059677194,5.490602374746954,-3.4697694386363445,2.3593909092827032,0.000592763251968159,6.256224839373498,0.3342635325360245,1.2397762563035537,2.8914245425495038,-0.7588113584298103,-1.2488549512959377,3.3285228928143575,0.3688624551466804,2.5329555690709604,-10.27322876473177
BRA,26.43390946254595,1.8825820245611553,3.471528274086648,3.0414595269518796,1.5782025893588316,5.4612104535289685,-3.0628577196899816,2.9927368846154576,2.4905699236530716,6.279924104973579,0.2300613222845801,1.4260281324297834,3.1195772423672077,-0.4001149230584362,-1.3560144531549123,3.59541549501757,0.637170854133733,2.3351602625114825,-11.834960294148733
CAN,3.950659553871525,-4.275218246642273,0.12636387297268464,-0.8675226577186006,-0.35751540730654485,-0.9169897632524013,-1.2320960658034241,-0.2404230874861773,-1.6661239779931256,-1.7349743502376274,-1.9396318881683767,-0.5300305298517562,-1.9529319896746717,-1.5267425264566301,0.7321127396467653,-2.234895137168829,-2.7505591451024936,-0.7593211299254023,3.339937395698987
CHN,2.4472290820351468,0.7369831172563621,1.309128579227588,0.17410036531012668,0.01960401594478741,0.13209862732033928,0.14638068752065195,0.185497784571953,0.9167966708847082,0.1843257589509605,0.2710421459353368,0.05565761411051571,0.1772535974862758,0.19164860736771533,0.0763982006955508,0.13922921130977642,0.4553629661820954,0.07863220012342031,0.3218625228852344
DEU,-41.32093736889811,-3.9948522522659218,-8.143438100254718,-5.586851673976832,-2.970027055897893,-6.579081888298744,-2.997380698728895,-0.686703237870027,-0.7468704722358593,-13.40099628101368,-6.899037213936525,-2.5698429548607304,-11.746621875029193,-3.490235225662418,5.624971568232473,-11.048446018610594,3.774309570667947,-4.349563471036835,22.404807402922106
FRA,-0.3886379097351904,-3.95695092666607,0.6048535192719291,-1.0344942616117354,-0.5391774000677327,-1.262574291818749,-1.6553235747704254,-0.07212326201008219,-1.6989037519468804,-2.7529572012202914,-2.49475737176069,-0.7503209886454288,-2.8350298488836096,-1.7591788335119052,1.1004847686720653,-2.7918359759808395,-2.8600576702941685,-0.97532615878913,4.966108462034486
GBR,3.599953977610107,-3.762896632152015,0.8273384670364311,-0.6079429488003989,-0.3454713674395169,-0.8334073813802914,-1.1776900696357138,-0.37450381823834095,-1.8499379029657967,-1.7234869482100628,-1.851408258692212,-0.43393204749315956,-1.683854656759943,-1.3418013440296976,0.7395939958706899,-1.9321566552655338,-2.4095891846750916,-0.6572876972661215,3.021238219583864
IDN,29.65208392321187,1.5806314012685199,5.780774318348062,2.6511067917504345,1.4001976654080306,5.309385671487788,-3.258478585073417,2.6313688532247763,-1.1099641994915048,6.4761957098540215,0.6587104592217592,1.2557077154410807,3.2134079191775413,-0.6788794868378002,-1.1942478689426712,3.3223259228977793,-1.8309022645947353,2.4127721552969525,-10.669012173991144
IND,30.848550386594102,2.018803371260715,7.865141005742145,2.405621390189466,1.6965087079756824,5.999083790179448,-3.3680938676588426,3.106301116294959,2.06155216211063,4.538524732551121,0.1162616336083353,1.2670851100397258,3.5250816955805586,-0.758115218214769,-1.5319952369119167,4.099701565747614,-0.22277139676929789,2.93837652053018,-11.44050024527926
ITA,3.1680811741448185,-2.5807445172177825,0.8586627285640596,-0.32136857973384436,-0.14668308924452275,-0.42283033830665984,-0.7460212942027746,-0.09848828312533878,-1.7405517155069572,-0.7743333215446478,-1.0429477692633808,-0.22290468734107058,-0.8095326784562813,-0.7019986519958072,0.3111625729780969,-0.9746869569213463,-1.539818473856453,-0.33445782913084654,1.6353994021728067
JPN,-56.69804616225706,-5.069683092409188,-12.545013110479838,-7.175314298562592,-3.966654975040701,-8.980726422249006,-2.9043420055419364,-1.6657978904452557,-0.9650495683419925,-17.733070655022086,-8.709233229081875,-3.7776701374473283,-15.322635867906236,-4.509151741524426,7.223371328717078,-14.603348690415112,3.8202469070899245,-6.002932791797942,29.38880307895572
KOR,3.851729245501555,2.2438582203141633,3.3856668365180065,0.42985073168167176,0.08207457398549464,0.45486460018421604,0.4501888128206605,0.4843276578453081,2.06102185038148,0.7561812315079617,0.9065313542155442,0.18015209086955797,0.5828972268810372,0.4938502662706569,0.11475245158951068,0.27048741992544717,1.6504460442937354,0.2724245706364087,0.03323641528451006
MEX,16.7810047440752,1.336181051704931,3.8649271044078586,1.368527282283191,0.6567151546963953,3.4319696209888075,-2.8353827927718944,2.8215967699697146,1.1444629952534826,4.213519673902053,-0.23099006875745123,0.6342760977737938,1.3801161156392678,-1.3269237249536554,-0.2585129025586111,1.1882823625260022,2.876560773562754,1.5230525032773223,-6.812530460069508
RUS,6.113418852640735,3.1062266418159292,3.5229364169317368,0.704734494942369,0.04447725694948638,0.4766027488440477,0.7538000831174211,0.7074542624153157,4.23597718216314,0.3774387869085732,1.1554666305175902,0.28448748641049915,0.5335540953805219,0.5524661856556301,0.09560757829886454,1.0737325496821821,0.8338727107192273,0.3320263862846581,0.3843606485656173
