,ARG,AUS,BRA,CAN,CHN,DEU,FRA,GBR,IDN,IND,ITA,JPN,KOR,MEX,RUS,SAU,TUR,USA,ZAF
ARG,-1.154199076407221,-0.6445949960016566,-0.49598686883093385,-0.10215092514310327,-0.012446352169430406,-0.07917661126034758,-0.10416470241728001,-0.1023581893573588,-0.7941521855066105,-0.13703053837202686,-0.17363454135818396,-0.03837108777794546,-0.11613956613474927,-0.08420447234724204,-0.06245935173499274,-0.21093689738553253,-0.2764755341271073,-0.051600125262985956,-0.1795726311940631
AUS,7.968185129980514,-4.543333551423767,-2.5029940431727495,-0.37516658141769155,-0.6555836698234849,-0.9222410025227027,-0.6871577036212965,-0.6559324977032657,-1.9733135808209965,-0.9378600787216747,-0.3320668633168922,-0.4868280213347465,0.5891281353150997,-0.042119596492045386,-0.8047401264833752,-1.0500547903768134,0.9672869092063919,-0.8973184110916698,2.902886130104704
BRA,4.199314845803617,0.4940742434527287,-5.0544182365901476,1.098162920787779,-0.41900600557700196,-0.9340453973758414,-0.18284185801774808,-0.3663184331604893,0.6729680340635297,-0.8044070844948777,-0.4138970226137685,-0.5070924956622566,1.1112034880340709,0.3692738574087618,-0.9544901495074193,-1.2182843197601982,2.320779038777701,-1.1399004358446427,1.5413074231857016
CAN,-17.736382887928105,-10.310890198550018,-9.018353194208656,-4.086336079202279,-2.871790035558489,-5.820916483241467,-0.13337159369748036,-1.3631851891467148,4.310290704237891,-5.183000085675181,-5.153081827563708,-2.1323892315000275,-5.9347635521363244,1.1295050154890132,1.4383249147946566,-5.937343330768109,-0.8305679534713993,-5.107767918917687,14.030093363099631
CHN,-3.517784716452662,-3.3850192707393836,-3.706799452842181,-1.1908904683785413,-1.4215686105395262,-2.3768444280729444,-0.6002581341195015,-0.3120590524753998,-0.09985978876299878,-1.6160959438399471,-2.502717038656656,-1.2727416319447227,-1.9900044833252526,0.6216032208334097,-0.2936770611159967,-2.086065098069509,1.4623861970943153,-2.4558225044093485,5.924390655678559
DEU,-53.514260784437155,-17.101586711350283,-16.097085383361716,-9.185559150507656,-6.427608620244115,-12.520119303438378,0.3442056183035194,-2.20713330750843,7.880794617869879,-5.904693937509786,-8.906036599816606,-3.52677342720131,-13.986805194361011,3.186222132228004,4.044303274630189,-10.927362461140936,3.1302921082993227,-10.544753607756856,32.43462919061305
FRA,-23.742073925961176,-8.73914160356086,-8.66591683890653,-4.114500647476468,-3.32022052885223,-6.400014581203778,-0.95861138462323,-1.0755780150174588,4.751078989222971,-4.29400730731464,-4.66858894234469,-2.1047740125755743,-6.6396753327544955,1.2634263534793044,1.5402125466028393,-5.7272404113393955,1.1445130082302857,-5.626868208734161,16.67868572745962
GBR,-19.391968025643482,-8.827496867365161,-8.61252606329566,-3.4105763835950187,-3.321661753282249,-5.902714619404738,-0.4742117637211495,-2.305706324627369,4.404918915126124,-3.1150500437815576,-3.7402897952390397,-1.889591077461428,-5.102334161829153,1.4348470737704426,1.1382136846939581,-5.391690036218562,2.5163740067775335,-5.125776599149694,14.41169477959111
IDN,8.665466338717758,-2.4308840406644414,-2.9037913395965287,0.07833478842843235,-0.5535544853949395,-0.8482223514523949,-0.5585669463282714,-0.44406941085537577,-2.5088269358526216,-1.0906282806353405,-0.6656187809326389,-0.5380235324887771,1.2237585287969877,0.2465520250701523,-0.934217105714664,-1.3945416527223815,1.1887314608213164,-1.028354763424878,0.9496659502133751
IND,9.482850372617069,-0.6122566884543936,-0.28214543915357193,0.1040006909454574,-0.1983496642431387,-0.4450069744473005,-0.4075500962871747,0.03023806767797281,-0.011273594181551943,-2.5925728631215805,-0.7075581819628284,-0.40161312783986236,0.9780780442550399,-0.26785167698863366,-1.1355144905340013,-0.4594250237834598,1.686726814811376,-0.5305012602454258,0.8256688214651555
