,ARG,AUS,BRA,CAN,CHN,DEU,FRA,GBR,IDN,IND,ITA,JPN,KOR,MEX,RUS,SAU,TUR,USA,ZAF
ARG,-1.5510205163798403,-0.5644185414907862,-0.7124294372390587,-0.12419880839562082,-0.01114475210583584,-0.08678453639646351,-0.1270467422233335,-0.12843640745865625,-0.8252203595589925,-0.10027937362672969,-0.19635439052935139,-0.04513594943415863,-0.11057664398887061,-0.11924406214196338,-0.051031466028005366,-0.19456548301560905,-0.21833250121696982,-0.05991109974722952,-0.14934368651576585
AUS,4.3742266410967146,-3.988545026304437,-0.9401312346148911,-0.32660059909200856,-0.3035943415241341,-0.630816737776387,-0.6707740435297463,-0.3808658928865787,-3.136891573213188,-1.2531535704419177,-1.137840278867462,-0.3978857208117176,-0.6739437437036817,-0.6824263121520525,-0.36419503987603646,-0.7488831925844162,-2.102169844676031,-0.7272621053827806,2.3380234590999933
BRA,0.8374539624150122,0.02330198499797944,-2.394001000455119,0.1117152219652542,-0.3270927449832128,-0.6013764368056428,-0.30206594479952015,-0.2552132534765962,-1.221471719415871,-0.3882635107702518,-0.7004705393054711,-0.423157330853947,0.19302307638026037,0.14830147875494762,-1.1539448574704723,-0.2849943964559208,-1.360665618760073,-0.9759339441894528,1.5194705397917765
CAN,-24.209208012935317,-1.2627141373935231,-4.124653987264272,-4.289600523059385,-2.1005064038192223,-4.963202731036927,-0.6897012013964137,-2.0695392125706733,-5.335767114839878,-9.273129007086801,-6.653129860060207,-2.3422526931525627,-8.432462790950181,-3.255738017942552,1.093914205598583,-6.010904579268978,-4.827885948367798,-3.5199469213136574,18.569821331214737
CHN,-17.152448596931666,1.259177764044831,-1.3871249863110118,-3.6843101210455678,-1.8154506824115377,-3.0963372992969767,-0.5030997860761077,-1.1179687053664824,-7.139814581358443,-5.831529216600625,-4.97647758068376,-1.8671549983384181,-5.731046115042843,-0.96765010281182,-0.13719006092678865,-3.243352664487574,-2.5262268416077647,-2.4126472496875015,13.654876348981292
DEU,-67.01001946964037,1.046575611646146,-9.158210462969258,-9.467210311551742,-4.2215143738348715,-10.101366839643832,-1.150978019770329,-3.831862620244035,-13.604634209001368,-21.696232576115616,-14.612384447025205,-4.137874946453392,-19.247204641649013,-6.472465614140729,3.8613905966876554,-11.978218948204246,-10.913663679077619,-6.538511353191435,39.93356595360773
FRA,-30.26675993667508,-1.9593527904610746,-4.826239879510264,-4.216987038440177,-2.197780914605756,-5.245157846731264,-2.078177695098685,-2.1420407271815303,-5.81651759514919,-11.055353161206689,-6.703421749118656,-2.402912308909774,-9.333021734671961,-3.4306840036946524,1.2862932773652014,-6.066453369829445,-6.647947428726134,-3.5470765479111663,19.370751987904626
GBR,-27.968218353961895,-1.7846008258052979,-6.880166602601496,-3.8336712639114268,-2.4740014379501956,-4.497473376456487,-2.078141903610626,-3.8286624401630647,-3.3522969688284685,-10.193229137323394,-5.239510273684562,-2.059736464897439,-7.1452463750773525,-2.2208495108149506,1.4444467450231582,-5.660929979853763,-2.4284535628569306,-3.2510749135683734,15.926191006575676
IDN,4.450993689216642,-1.3520344960342399,-0.6273812677860543,-0.2945064548784232,-0.30474531583360415,-0.5906830970336338,-0.6174309212605241,-0.36464209977399425,-3.5774858142948807,-0.9902885547317422,-1.1241007608984852,-0.42654057991004746,-0.5007255006251017,-0.5689562000769863,-0.6244074869552723,-0.5862237932893785,-2.3501415639489402,-0.7573606462062805,1.8967211743610877
IND,3.784328494317866,-0.8505673061906489,0.7547902492921985,-0.19954036785564766,-0.12519394508457235,-0.2962673183757357,-0.47391856582215447,-0.11311513662369788,-1.468982902441129,-1.1362846845555068,-0.5680361068807104,-0.2398918505546642,-0.23391005474982593,-0.18599387848902962,-0.6138254718714783,-0.1569833836834099,-1.5037959037594524,-0.46808888001766424,1.8397368239087761
ITA,-22.869839492913652,-1.3723134612526768,-2.8479395575595334,-3.6112677969262688,-1.7203319590176263,-3.921858660998861,-1.3552555211741577,-1.6925567244675588,-6.507243778730101,-8.895486677032372,-6.817173244281292,-1.8545867226308237,-7.170732314403307,-2.6109550918287017,0.5335358296126342,-4.415086503297058,-6.587403273645076,-2.904438995507677,16.22727744932995
JPN,-78.59757595272126,-2.4876778254252523,-15.421109417292612,-10.36296248040924,-4.877169496960608,-11.213901965814411,-2.1404812104927338,-5.782019650163367,-13.99561602619894,-25.411557116436228,-18.450866921184726,-5.583193090559867,-22.331265220692245,-8.28729494553274,4.371243953590809,-14.472567312363056,-16.386303913294288,-7.7221893604566425,46.83019741634932
KOR,-17.18969640290153,1.7987984151800238,-2.892935373006637,-3.5715464332328564,-1.6639797489517354,-2.2749756833137216,-0.2875180171147559,-1.0723551997146243,-4.489320459940659,-5.925857044194538,-4.882236859769388,-1.835090560198516,-5.112139064692731,-1.5403797453822077,-0.1346924236868034,-2.8616561692598506,-1.4420107942871376,-1.9744343191569644,10.78730114308777
MEX,-7.479530366013045,-0.1342131118814783,-1.7586192799170701,-1.1003766638120382,-1.1007912121846446,-1.9761875539550378,-0.22296222824861225,-0.764813655940388,-2.505176116630583,-2.887356876633822,-2.961346020558814,-1.2232783782917118,-2.307248414124216,-1.9054467873448628,-0.7765666458176121,-2.004037478411895,-0.16252138877121275,-1.6308051254494367,6.751847600471855
RUS,-32.254420845751106,1.4526517343665688,-12.861657301028776,-1.3870971152520708,-0.05340185819579787,-0.7255753258512097,-0.02317721451279666,-1.3773544742079047,-2.216089877883097,-1.0408996303473794,-0.6021412791579557,-0.16007780794027443,-1.3156437577403615,-1.2882410115897363,-1.8842610139096196,2.5380120299224247,-3.240911300510383,-0.3601627493374049,-0.600357300043523
