,ARG,AUS,BRA,CAN,CHN,DEU,FRA,GBR,IDN,IND,ITA,JPN,KOR,MEX,RUS,SAU,TUR,USA,ZAF
ARG,-1.5874604682692839,-0.5673073412623083,-0.7163671560703769,-0.12483885124628644,-0.011430850751848746,-0.086932061871838,-0.12709111214365332,-0.1291619021817509,-0.8337790017865534,-0.10225196595244908,-0.1966992154052242,-0.0449117338988537,-0.11252107645394864,-0.12228962152854629,-0.05290548251044195,-0.19375217291779598,-0.22383414883339425,-0.060250920908222275,-0.1548592838647331
AUS,7.052293853101978,-3.4888542550555877,-1.0111236007709745,-0.23067131832781493,-0.441024765818277,-0.8126221914651083,-0.6602283542830665,-0.4476301854878665,-2.547762148153343,-0.8276729053549114,-0.6225985364243594,-0.47170277384716086,-0.06710116660467386,-0.39419363585161377,-0.46600268319276134,-1.0302008277745343,-0.8809567415153988,-0.8905961727974379,1.9397709015184514
BRA,2.201730758849391,-0.8401057411190974,-3.693277507116761,0.4444301543763246,-0.5094365429829755,-1.0107855203782559,-0.33885570411094024,-0.29064220452399553,0.1298265010724556,-0.29680957332577024,0.45407216873289213,-0.3992967911424368,1.169309512864107,0.6461110854048161,-0.9674845586460737,-0.6371517040542276,0.34996927505680286,-1.2511833767284735,0.6518594181580286
CAN,-27.778396314851765,-3.6608038146312247,-9.023182170685827,-4.225924260451476,-2.784368080841588,-6.332233911059399,-0.9220666849235553,-1.5733246224250894,-0.04579148394042196,-8.981661143435629,-2.730637255272052,-2.1099276866475347,-6.047818923975457,-0.9026383848408315,2.411415557197735,-7.704614979496828,4.790615198804057,-4.2290796145707565,16.23910984665214
CHN,-16.113195474755845,-1.2549971905949437,-6.510825523828672,-2.593354929092482,-2.189526357788861,-4.22882037237485,-0.74496795258939,-0.8882891219577913,-2.3472125234310637,-5.533459697315747,-1.6304816663435635,-1.7468518495161098,-3.459993307741704,0.006992592614118197,1.0176107758136173,-4.8513878587573975,3.152151629533097,-3.136839733806733,11.134851583135019
DEU,-71.37219553699761,-4.629595100369549,-18.205514496708815,-8.996414505305218,-5.423144867480886,-12.784746628307095,-1.6686786196852652,-2.9696404877491425,-0.515171645312999,-20.622749932594143,-6.573162906974424,-3.9735430228870006,-14.649214132758148,-1.9255190272405631,6.623852816433693,-15.646638898888225,11.59049969717602,-7.992629946563357,35.10232145774615
FRA,-36.09387557891669,-1.9826175112506124,-10.14426085103144,-4.7880173844088505,-3.2208701523162246,-6.768125616880059,-1.9533411067427724,-1.3236262180972946,0.5947415911758013,-10.954703841556901,-2.4687718992771903,-2.244402733346057,-6.668099615605417,-0.5839232668238381,2.8564402619806017,-8.101092186216093,8.524623895512201,-4.453612855436519,18.237462483677326
GBR,-24.851076671089313,-3.426064882052733,-9.071886958213124,-3.1513348523003017,-2.654387073130279,-5.873064955034859,-1.153705432489856,-2.5476329193202942,-0.6640847908955507,-9.67115161128188,-3.2663017428344583,-2.145688404978736,-5.538521244869167,-1.2671983291095534,2.340142592112564,-7.120018416153792,3.719015303122723,-3.946504037360712,15.791209995977065
IDN,5.567610195584718,-1.1384660076640916,-1.6156977058239677,0.08246399178417493,-0.6691237318425877,-1.1519881920631652,-0.553472307330725,-0.5731571689371295,-3.2646931100417484,-0.12649485074055697,0.7432496445338866,-0.5298792516313676,1.1849703238871394,0.3278506569858098,-0.8067861455753736,-0.912084627307662,-1.6794400461632477,-1.1949112954574919,1.6716843131737325
IND,-1.8313552784147051,-0.7256383191085881,-0.929287571593586,-0.15436006209625686,-0.015534003107212747,-0.10655295622077512,-0.1518003080938845,-0.1545177138913702,-0.9958035909352656,-0.1367435615086671,-0.24211489564348926,-0.05552913021608297,-0.14902018530049202,-0.16054047393445398,-0.06171113406693809,-0.21039285123906648,-0.30816396610714614,-0.07481887056635117,-0.17010678368670148
ITA,-28.38204760910879,-1.9958904091939176,-7.652489758818227,-4.148291581277004,-2.7451810488236466,-5.673648008482312,-1.576088053636963,-0.8186864030684464,-0.3805621367992769,-7.992586899491515,-1.7128991440443833,-1.5909338745771373,-5.027973973398086,0.3843071926620668,2.0371229206314454,-6.3793872799673474,7.663016303147553,-3.8064744830441817,14.233165186450332
JPN,-75.68189088349814,-7.922451546803989,-21.788168021894926,-9.12476954098463,-5.696267789353927,-14.174093144719452,-1.8997764050338675,-4.452438365298081,-2.3679135355749916,-25.3688918513317,-10.847183887023641,-5.556014271495956,-18.450837065907272,-4.666415627220765,7.83247240180818,-18.715637352880616,3.1413916303070555,-9.299075136965042,40.29670811677555
KOR,-16.583356723053708,-1.3365581884237696,-6.811662679055375,-2.4903260647262866,-2.0519083390349735,-3.9281119844275243,-0.44003946410830547,-0.7968629178827024,0.2364519419364439,-4.625896096445376,-0.6705522906164215,-1.4796335052824512,-2.9965654987011976,0.45083669583842884,0.9886011385005835,-4.469738581234028,5.515893007537653,-2.9641674569516447,9.310458065829849
MEX,-6.796107685971532,-1.225313189960423,-4.137405517113552,-1.0914421054914119,-1.4653155743311137,-2.8414988837899147,-0.5421001790934876,-0.43201224320135323,-0.7024573410468171,-2.4795430807427015,-0.15067736653422664,-1.1716595464940747,-0.5620364957650231,-0.31316364326646334,0.0828122637094081,-2.997242826219468,3.409810267218896,-2.0855381910875375,5.362276224715344
RUS,-35.78050115445015,1.3371817996845101,-13.122654205743336,-1.395432444914242,-0.08455097374188084,-0.7031598860203466,0.03958705570873992,-1.3915357209715695,-2.8274852795004572,-1.2403535912251507,-0.5618593651229283,-0.10992511696829871,-1.5134566841486807,-1.5625107797828797,-2.11400918985335,2.7090185511512757,-3.845767132395994,-0.3573580900363165,-1.0619552873080578
SAU,0.3597081695193055,-3.438021649233067,-0.26223723047126907,-0.48290958114831156,-0.7021220033468133,-1.3395152816468525,-0.31472165656983636,-0.8921730348186594,0.7587317782775954,-1.2049614905302561,-0.9981159834207631,-0.8318515183472242,-0.7629023147219557,-0.8736892514918647,-0.012674420443747832,-3.255844660484747,-4.383244517987647,-1.5513728682324803,4.374704868475595
TUR,2.4234612185099365,-0.8787694301847266,-0.6814287573563867,0.002416212246805645,-0.056052670524773834,-0.19748104631991442,-0.3191851120198086,0.10378187547000409,0.21003580347220957,-0.3613885244497801,-0.24259642349580482,-0.1348351008984694,-0.03988986376906939,0.11427807536126058,-0.22896641284395342,-0.1447909164239417,-0.9493394977201445,-0.19629678252615693,0.8142899064550193
USA,-103.42587438514886,-6.73659139255845,-26.35994122028679,-13.037024815836102,-7.740521077228905,-18.099405615507514,-2.09929617878059,-4.611752810150243,0.7284750999053952,-27.62511415512136,-7.4681934183076635,-5.143991188552647,-20.66881238190617,-1.9280338486718915,9.661987001553978,-21.90483503616611,19.101822777404333,-11.250201058647567,48.72912868177377
ZAF,0.2428327069051884,-0.9113422410380706,-2.105090958472772,0.37396241585093287,-0.016610487557841905,-0.06655846888541275,0.1338088442524799,0.12071043981175994,0.30158713657974806,-0.17424204909892163,-0.15190438144667298,0.002064260572816574,0.13355017302108255,0.5172900796475824,0.04384060534323759,-0.3817477468589538,-0.2847651485679542,0.13769608729470686,-2.083940154339866
