,ARG,AUS,BRA,CAN,CHN,DEU,FRA,GBR,IDN,IND,ITA,JPN,KOR,MEX,RUS,SAU,TUR,USA,ZAF
ARG,18.270388775703893,5.037237154341418,9.629026960676372,2.252731721534784,1.3300967963111963,3.157887292936516,1.8031507570004914,2.297389984529043,8.012964795185221,6.131684408456857,3.7619940632958127,1.319400321522365,4.3930569249228775,2.2526735836776277,1.8231547204415943,3.560997904526089,7.877565164369386,2.238978963357109,9.440486434151355
AUS,19.53967549186062,4.0956587600551835,7.965321476574094,1.8522136734317365,1.1058940985280197,2.9102583846357124,1.5245180730947405,1.9883805079960863,6.886925601054504,5.6487595702287825,2.8007960301841295,1.1116532664481025,3.401816009042481,1.8850111228444277,1.6657954118490355,3.011961482801239,6.255541101007469,1.9233845290179714,7.804051925334381
BRA,18.65162811044944,4.430468142098591,7.739315713596481,2.309024849206477,1.225498529380051,3.0271978006688665,1.6532377578949642,2.3405152969101075,8.605131590662271,6.3076325344646165,3.1077464815148486,1.2203580749817446,3.5326320003695657,2.2251773100177177,1.6624355158860473,3.2738555871792223,9.091146890221891,1.9840290344752949,8.996728833123736
CAN,12.052487185808896,3.382371508930878,4.328563515874665,1.0867580644333852,0.49054049307252284,1.0348628470238996,1.7707223753939492,1.6933986615809629,4.84851336493442,2.7580189261463124,1.629197222675138,0.6693932455057356,2.29881826992209,1.3449524006250606,1.2952153285659773,1.9486624817478766,5.269567468352789,1.1286729637748425,4.139038161353904
CHN,5.303908782399752,0.989362070556635,2.148211302007112,0.48035350280911454,0.12418999385683485,0.5727785748022178,0.7485001683645925,0.7116148313823428,1.5576484039447913,1.3696710808381352,0.5442113446472008,0.16880992935273176,0.4455889678112388,0.40753070262818464,0.49652245794189415,0.5100728206087598,1.0235995321684686,0.34166873551329296,1.2365390992289946
DEU,46.76378526022416,12.749979685503192,16.82324265090454,4.704115753965056,2.3519265566391496,5.534064333125725,5.034509901120699,5.886608627238021,17.471639410923544,11.787634423978977,7.656604961617476,2.9013522257597173,9.718749169651298,5.082781707861205,5.074623112456209,8.360163296500605,18.357798222799108,4.809762451250788,18.716797440349534
FRA,14.940059564203413,4.145415851341744,5.243350616488264,1.3864938723427427,0.6245872334387041,1.370938126406338,2.228352159414589,2.2310648720578996,5.956963240751138,3.743246091475849,2.189827776613851,0.8784846153735163,2.9709025540646765,1.633875129573918,1.592198512206749,2.4138789575779267,6.37816154465127,1.391417338104411,5.402927874865562
GBR,11.275583853728493,3.0692246444047573,3.7840186152642317,0.8955789975790036,0.4481194968032075,1.0061924115404581,1.6911177090623564,1.5245074592532355,4.397965581571919,2.8350815689470785,1.489657300006163,0.5811968280180865,2.086030289512057,1.1327946055178555,1.1907365519109379,1.7020477463612333,4.603613111294447,0.9960165267378802,3.931691437720022
IDN,19.712778097238193,4.738638886097987,8.163947952140692,2.00652000628693,1.1508490788453756,2.9341811372720223,1.5298541077408152,2.1294630473101943,7.308264354675827,5.8515115757396154,2.9651129911287386,1.174456995564093,3.517010695782078,2.2381617227247514,1.682068179793077,3.090836116364526,7.33782772651873,1.9200050853402018,8.320566082283978
IND,21.302808670614294,5.506410250230903,9.831827291545215,2.264041335892784,1.3439887029787556,3.2600422633247526,1.9895191743483296,2.365654692597806,9.097212242603824,6.259973260435017,3.4260545772455138,1.2828989444996803,3.996228610291305,2.4613300970078176,1.9522063165914787,3.6391706602196088,9.280454529239385,2.241070915303894,9.200744240041866
