,ARG,AUS,BRA,CAN,CHN,DEU,FRA,GBR,IDN,IND,ITA,JPN,KOR,MEX,RUS,SAU,TUR,USA,ZAF
ARG,14.436136355829081,3.9784251798607215,5.624043219235137,1.3600790348620915,0.3061245432534279,1.0092213422449685,1.3583171969334094,1.2780215244967514,6.213548128655998,3.014904377355981,3.035868339757034,0.7439704359798668,1.4275641665976067,1.67826742353486,1.5727402913356854,1.3573074741655928,7.461080760501736,0.45832657609171745,3.213246103147045
AUS,10.873099354016913,3.142891029506816,5.646817751118881,1.357858162614461,0.5090680399883574,1.1147164403325645,1.6311857366347406,0.9989660528074489,5.6160037933052385,3.212811584536601,2.6737408063747368,0.7492822362939602,1.7174291761596903,1.3634036003888734,1.1672568751135242,1.721584188629121,7.685528261640905,0.66385165227241,5.733100536862293
BRA,11.808620697001682,4.006416633184146,4.515887808168668,1.2807338895270404,0.2927834458381166,0.860706640575276,1.2498705564775034,1.3783012732605044,4.410854603478468,2.60574067440464,2.3378839876862743,0.8892322281153305,1.8241960412505431,1.459056467839125,1.4921863547001926,1.3368780536265366,7.346464976100255,0.5808591580413339,4.650618550509538
CAN,29.157753912396135,9.76194795029388,14.88042828735491,4.838464964436871,1.9193937010678708,4.124230388201103,4.965524687857231,3.127163649988865,14.907569231801356,12.331563477580088,8.306127964858803,2.474628952600973,8.009458165330459,4.372347950450951,3.653479324777437,5.199646293388144,14.653385544240033,2.8784576385592193,17.395013886262888
CHN,24.231277329240314,7.6370562599324,11.740040120283274,3.620998986219795,1.3596875397446357,2.582022123394524,3.8204886581918367,2.457593448740856,11.16046989575718,8.47016085536627,6.855589720996556,1.8730685036682575,5.873289875854349,2.9523711234737147,2.891666713509073,3.620828180735504,14.194969823992299,1.7800966869839534,12.884829249854652
DEU,63.23572811386048,17.30581808762604,31.24132346554353,8.549677356719235,3.901209591540493,8.540273619834558,10.031257600215199,6.935741353674876,29.573953665094415,24.486949864136076,14.442912247764886,5.588945648703534,14.841490229893108,7.516760639972552,6.9637667284411195,11.589641500587213,36.01154361927241,6.41993590706594,31.240872510679345
FRA,33.54488834542148,9.75460527726225,15.617453769918372,4.8639776928084375,2.2141275898505244,4.473993352692777,5.1775033019127035,3.495637408732803,14.919568712554383,13.10708861535613,7.385646542636815,2.3912636929659095,8.22975669135925,3.8412183563220235,3.844815956202537,5.9418406897186244,17.105556975608092,3.2099364306372773,16.893383846620967
GBR,30.815880190329434,8.694220483978013,12.468951542718683,3.352517469959798,2.1606277365955706,3.60447843090479,4.489113795644779,4.0505058393065605,12.712276243184501,9.088095067892606,6.311518697629893,2.0210486146072197,7.0251458310053065,3.2335658065356134,3.51463276996714,5.425082264798495,13.638574629838391,2.7969329813436703,14.105018029479034
IDN,15.250135765989477,4.43606919974605,7.994769132435022,1.748508328226544,0.5284751178354652,1.506441241464228,2.8038659519492546,1.9309648379567934,8.609272916479698,4.329456998314922,4.029239485646056,1.1705936360039149,2.358848284723756,1.9283857076074873,1.630495553671234,1.713843613192635,11.502011515606746,0.7231814455321836,5.9301342252687625
IND,14.184064732999461,5.105301354308887,8.080534921675174,1.5119585318595887,0.43513970455622997,1.24776664908566,1.6812449839014878,1.128527896431924,6.808396802726321,3.262743334948824,2.1393093053061,0.8679605649916764,2.1891633107568085,1.9883690678335124,1.6967696140349515,1.7976707410311652,9.310970780345453,0.5652087735612673,6.359185402947262
ITA,25.48672638661145,7.3339857730893625,11.113095185007147,3.689445582808423,1.6726750813517537,3.3800309551374816,3.7210133981079982,2.707614341121182,11.12017587674624,9.432896809417635,6.4957803752330605,1.8615564094312744,6.319552850283808,3.0958502039239004,2.904600089203929,4.574950158115146,11.752293018271347,2.4997520457457685,14.022452613216055
JPN,79.64096856866934,21.764477661235926,41.46293718114084,10.697716159593988,4.86815796454434,10.321734969467027,13.182664111939197,8.726908428396655,37.72200358285111,30.958069789276458,18.336438958134202,7.391413366955595,18.319316810992206,9.766911880799324,8.630054142937386,14.102361052812082,49.69978883036817,7.748965974995758,38.77971337229913
KOR,21.330246043778168,6.632800458756352,9.019275292913326,3.0712013352974346,1.161416726314969,2.5404765655497936,3.7491642120040605,2.199969978258008,9.942007795022027,6.460574473079702,6.363448081979497,1.6782944137446312,5.21580148715225,3.036181182378706,2.548016617418929,3.137229733193082,13.016699623814914,1.4809093482007671,10.574256763762989
MEX,22.218565521009804,6.605487687358808,8.57713565166212,2.599952879365893,0.9382049750557759,2.2379796241964574,2.9716313175742406,2.1124433094675017,7.601988577895725,6.9650785650303275,5.019585417258154,1.5798595642047193,4.23818606925405,3.1609376869308923,2.716046207330891,2.596458500085109,11.879227704298984,1.223880693435953,8.338231697922767
RUS,86.74467653612498,19.78947544504397,34.379538471067086,13.07583882056159,2.339890760713682,6.9868708831821,11.306765748761283,8.652156670531467,23.568185904047958,26.069612894253172,6.925001559493042,1.8537267352485822,6.267868586480689,7.974457844112977,9.675524735958613,9.357470183005997,13.597830562383486,5.890380026077749,24.073329362930988
SAU,43.46094231668564,15.030486435800748,16.72178445448598,6.170829848476369,1.4784249997573988,5.377519549980794,6.409891702131696,4.3471446723296046,18.65334773568555,12.251013652384877,9.975183737710413,2.4216785067733633,6.601448777387235,5.980665285522186,3.771968272637987,3.912035992985903,24.990429745659668,2.343774870696977,15.185392122988683
TUR,12.682508377086327,3.382330056440166,5.308966544887707,1.576476639053786,0.3240972079144384,1.26070751990048,1.6972940153092542,1.1521871374534474,5.6808699331297365,2.5361973297702542,2.448577154575247,0.6688651569571085,1.4032472810378676,1.5554945847313004,1.2338395543382639,1.173750097285428,6.283030900437681,0.48874983324719445,3.750809075313508
USA,89.88414021193593,23.441636641853066,41.70520536637904,11.304539693918228,5.410591377038433,12.193503033601138,13.88639176144255,9.916547848941278,42.96136547201501,32.0450721460781,19.40087598683182,7.923317017500018,20.804324017142097,11.12254037876359,9.82591607572668,16.434239255974674,51.527144644355495,9.069252510570493,43.94703924302395
ZAF,15.590127951317676,6.773657229393405,11.628732857239667,6.156963558366169,0.41923798162112663,1.353646744320069,6.343852209936568,4.486174844647211,17.555467860814154,10.725697245589135,5.342783963147078,0.9994494373309951,2.560792426654435,5.7164169862956005,1.8320358443146278,2.1797249426970557,18.924099969558483,1.9204953461473346,20.170465088023878
