country,name,r_i,se_r,eta_i,se_eta,r2,r2_on_g
ARG,Argentina,0.1917409848808665,0.19267179879320634,-0.009002429662068939,0.08598088684868936,0.3981373545423019,0.3981373545423019
AUS,Australia,0.6179504509757197,0.6151539475529312,0.08332104086757143,0.08582690308753886,0.48670967129684717,0.48670967129684717
BRA,Brazil,0.44811058968726414,0.45432726805274287,0.1527265519354152,0.11802128603047143,0.48839254738040394,0.48839254738040394
CAN,Canada,3.466024625740736,3.4187355473386503,0.32933561470480677,0.3922105222177806,0.48589926966340347,0.48589926966340347
CHN,China,2.46276154050878,2.35440805076004,0.3009251599344111,0.3067125548120084,0.4851330599694277,0.4851330599694277
DEU,Germany,7.055801541446186,6.910689078499373,0.9598472640099857,0.958784837148285,0.4856627173083624,0.4856627173083624
FRA,France,3.726117291591427,3.6732804368554626,0.5149047009631986,0.5775126893874596,0.4858311152391833,0.4858311152391833
GBR,United Kingdom,3.3616668134448418,3.32067000412473,0.46090739207964043,0.45740649675812806,0.4859262569483922,0.4859262569483922
IDN,Indonesia,0.5630170727133611,0.5667339330277622,0.1075758352851329,0.09447026092814698,0.48726389239000334,0.48726389239000334
IND,India,0.32296183497749414,0.29376766399042964,0.08134122380825817,0.06411304094381907,0.48572477838698747,0.48572477838698747
ITA,Italy,2.993864227521283,2.954229520100913,0.5087643719292361,0.529919952001339,0.4859127010512716,0.4859127010512716
JPN,Japan,8.584113420842323,8.420697121367018,0.8169252517515104,1.0614986605462686,0.48565331175325444,0.48565331175325444
KOR,South Korea,2.096737214083958,2.06124519299747,0.34491651202918727,0.2827379170159516,0.48594859504185617,0.48594859504185617
MEX,Mexico,1.417240614463351,1.3855890399574549,0.21965141867578714,0.18900344861501042,0.4858868628851486,0.4858868628851486
RUS,Russia,1.7996944161610164,1.257907343064697,-0.13203202083811655,0.48918073257779604,0.3510206773777572,0.3510206773777572
SAU,Saudi Arabia,1.036547830863957,1.0041293772595143,0.03895252584443438,0.04220592438022932,0.48589631513987586,0.48589631513987586
TUR,Turkiye,0.1643724359905416,0.1365077517300595,0.0780057461582226,0.06191051516038398,0.48342190687958553,0.48342190687958553
USA,United States of America,9.789745131277064,9.571043349197526,1.045380085804058,1.4435024075035474,0.48554593506631083,0.48554593506631083
ZAF,South Africa,0.36962122939730846,0.3670152079375001,-0.10416087117534284,0.19894428650599416,0.13729931895401637,0.13729931895401637
