country,name,r_i,se_r,eta_i,se_eta,r2,r2_on_g
ARG,Argentina,-2.3200036094220997,0.3400730481318594,,,0.7659840362931878,0.3357276877155223
AUS,Australia,-3.2216689086642853,0.8109116300385397,,,0.6884905388185873,0.479943084558359
BRA,Brazil,-1.6872659849393274,0.5527865664551177,,,0.6128421780968223,0.4451764761547362
CAN,Canada,-0.9005273787234649,3.570457733169528,,,0.5245199647210104,0.48562325770463566
CHN,China,-1.3470807408886005,2.490818987604447,,,0.5353290503951815,0.48440473981927135
DEU,Germany,2.9750316462498123,7.046947175660983,,,0.5030753654006799,0.4856372696616962
FRA,France,0.011279596053548663,3.8006822135913434,,,0.516148984337528,0.4857680508047072
GBR,United Kingdom,-0.12389742316628675,3.437609332664305,,,0.5174011232279825,0.48580046334085125
IDN,Indonesia,-2.5502533689773625,0.7106850653244998,,,0.6406628331818316,0.4562833845197706
IND,India,-2.7408072916954342,0.47217545750209516,,,0.7618819059418818,0.4371308403176497
ITA,Italy,-0.1255776427946614,3.0605042876056734,,,0.5175638882304643,0.48583467770166133
JPN,Japan,3.7259114607836437,8.57866455542847,,,0.502683863968741,0.48565445197437307
KOR,South Korea,-2.5744216003352363,2.234596133297912,,,0.5548543664013241,0.4843926302639834
MEX,Mexico,-3.7146025462991954,1.597849395497354,,,0.6005173415848866,0.4836348785878749
RUS,Russia,-5.201256579307529,1.6492922267841237,,,0.6252045056189754,0.36228108546332327
SAU,Saudi Arabia,-8.675675003689562,1.5252929265650943,,,0.6993178884527738,0.351117816432293
TUR,Turkiye,-2.2882207668546872,0.30470947298249634,,,0.34941113460482676,-1.8527583098219043
USA,United States of America,5.641198698262876,9.705408110023496,,,0.4982505345356819,0.48554534574794894
ZAF,South Africa,-2.2478515989895067,0.5413440517741896,,,0.5473550419665316,0.0057576096159793755
