country,name,r_i,se_r,eta_i,se_eta,r2,r2_on_g
ARG,Argentina,0.20547515888574888,0.20552100077302432,,,0.4287836058316393,0.4287836058316393
AUS,Australia,0.6294887739155743,0.626898857505328,,,0.4872073273629989,0.4872073273629989
BRA,Brazil,0.4464070528082102,0.44359399465938826,,,0.4878335205351556,0.4878335205351556
CAN,Canada,3.53837256254124,3.4905789456507628,,,0.48592429958868566,0.48592429958868566
CHN,China,1.712274810701047,1.6177576392794613,,,0.48477976328780015,0.48477976328780015
DEU,Germany,7.228279249107583,7.079091761498758,,,0.48567426527341817,0.48567426527341817
FRA,France,3.818134977832769,3.7633466899498575,,,0.4858604847689274,0.4858604847689274
GBR,United Kingdom,3.444876337265923,3.4019944974110334,,,0.48596069089859717,0.48596069089859717
IDN,Indonesia,0.5728145412551925,0.5762501499952369,,,0.48760143546475776,0.48760143546475776
IND,India,0.3299957000158383,0.30061262191032895,,,0.4862857141602063,0.4862857141602063
ITA,Italy,3.067776772422791,3.0265605474456083,,,0.4859051461624311,0.4859051461624311
JPN,Japan,8.673589095663967,8.507965601867708,,,0.4857290931530912,0.4857290931530912
KOR,South Korea,2.146417921083123,2.1102377696639274,,,0.4858341686149392,0.4858341686149392
MEX,Mexico,1.4374879376014107,1.3858640352347726,,,0.48546424204749383,0.48546424204749383
RUS,Russia,1.7091145179735339,1.1930370501897212,,,0.34275588850780725,0.34275588850780725
SAU,Saudi Arabia,1.0622653149214853,1.0289760306340223,,,0.4858651717395759,0.4858651717395759
TUR,Turkiye,0.1676459708596688,0.140356884244869,,,0.47925660968796624,0.47925660968796624
USA,United States of America,9.919859688601697,9.69753308376882,,,0.4856150326982591,0.4856150326982591
ZAF,South Africa,0.3503700441341357,0.34441442801450683,,,0.1628588360989769,0.1628588360989769
