country_idx,country_code,country_name,best_loss,nfev,nit,message,s_pi,beta_trade_off,G,nu,h_C,entry_threshold,kappa,sigma,h_P,s_pi_P,r_C_target,a_P,b_P,nrmse_C,traj_corr_C,rank_products,nrmse_P,loss_total
0,ARG,Argentina,0.16865222496277438,18060,300,Maximum number of iterations has been exceeded.,0.029833695086665057,0.8916379359570441,0.05817014123943265,0.2595094929591422,3.424395231184784,11.758537722425139,0.07235664777831292,1.8826484229093525,2.760540933612195,10.059373924044877,0.37780647077283813,0.2118496193094359,0.6150797999949362,0.041022038378814844,0.2730769230769231,0.16352201257861634,0.0,0.16865222496277438
1,AUS,Australia,0.05613671701276525,18060,300,Maximum number of iterations has been exceeded.,0.647060618827798,0.9520755485849011,0.20883274284111564,0.004802458131730136,0.7297733672543427,21.692072384362287,0.0048529846139518246,3.9779892740208878,4.686921142755472,17.873921082513924,0.3756454822751252,-0.12867706499847997,0.7657741632559648,0.05047475575486291,0.0607692307692308,0.16352201257861634,0.0,0.05613671701276525
2,BRA,Brazil,0.0750355659278102,18060,300,Maximum number of iterations has been exceeded.,0.2628078603073864,0.12226225698075283,0.017213245153701928,0.19729563790833715,1.30001066793039,36.20389103214467,0.04874469917784849,0.8782865245343645,3.512202781908254,12.791445437111566,0.5844873170920764,0.04163558061912509,0.5915791056744292,0.06050638582248412,0.08692307692307699,0.16352201257861634,0.0,0.0750355659278102
3,CAN,Canada,0.15020069640900746,18060,300,Maximum number of iterations has been exceeded.,0.6431039127176839,0.6285089431098162,0.010557697109803144,0.9643448226926874,0.33711595718686027,0.4373371587966979,0.11857666638394451,2.668136137234719,4.65779330910744,35.85496973284184,5.3142606281505,0.27323520116148736,0.3528193751480106,0.2548049663789909,0.06461538461538463,0.16352201257861634,0.0,0.15020069640900746
4,CHN,China,0.09834763890104693,18060,300,Maximum number of iterations has been exceeded.,0.11126423627888127,0.1373830773709379,0.014759531999807063,0.09633148105812778,0.3845212187150202,26.790787274742947,0.09976052427230134,1.9165602464442621,0.47606305525805936,25.086117952459215,2.2858803067982505,-0.11811521684055115,0.8315028164939977,0.21478962490830938,0.003076923076923088,0.16352201257861634,0.0,0.09834763890104693
5,DEU,Germany,0.11420102647332134,2340,38,Optimization terminated successfully.,0.1112058039661562,0.20437956085142062,0.013519826097104115,0.7579538458213867,2.0784456073984567,32.952868944292746,0.12532424307168447,3.1115303844114726,3.3576645120246176,21.31821680076155,6.581087389537013,0.30368360875889855,0.7115947579022954,0.046002281051825133,0.17000000000000004,0.16352201257861634,0.0,0.11420102647332134
6,FRA,France,0.08857842385389518,4020,66,Optimization terminated successfully.,0.1195988341712052,0.1569607064567735,0.011437824406198893,0.320895219675861,1.5255956452146067,9.95095290746317,0.11330329106210948,3.954007980088836,2.6476373493305725,15.237628378464661,3.23032821579934,-0.17139741020358978,0.6572407085379206,0.17051615557275857,0.021538461538461506,0.16352201257861634,0.0,0.08857842385389518
7,GBR,United Kingdom,0.3422785741714567,18060,300,Maximum number of iterations has been exceeded.,0.09930271779022892,0.5282341797455189,0.12026646453510825,0.15296091985061278,2.1867386718802373,32.43818253476411,0.14865335731291224,1.6822395304922044,0.185936882822602,45.74399850675837,2.80404464968389,0.26714766941687107,0.7572615477785907,0.5556617887570833,0.1676923076923077,0.16352201257861634,0.0,0.3422785741714567
8,IDN,Indonesia,0.1852461088425335,18060,300,Maximum number of iterations has been exceeded.,0.04134205962480325,0.656071741277205,0.05574513783952517,0.5016852003145087,0.2400345870073073,37.953594169109856,0.05776315879409671,1.7041925221984218,1.9128752551956558,36.878665804265715,0.12189675320422477,-0.03685680198039987,0.7121399322979477,0.04311101110306572,0.30153846153846164,0.16352201257861634,0.0,0.1852461088425335
9,IND,India,0.038295868084865285,4800,79,Optimization terminated successfully.,0.9707475353864037,0.27501019360710177,0.8416710869794064,0.0035382998450962933,4.14352396933208,37.57896963462993,0.0700802429983715,3.1569631002210246,3.551308883516433,12.209881216788423,0.2561730327949179,-0.4102327603434346,0.48660881567410624,0.049375433350982614,0.029230769230769282,0.16352201257861634,0.0,0.038295868084865285
10,ITA,Italy,0.17444286202604337,18060,300,Maximum number of iterations has been exceeded.,0.15828453867791886,0.37874995531525674,0.07880685134663035,0.4211037375407642,1.2391806804524408,40.78168097214445,0.021250548828529253,3.5755892421811897,3.2381985009106096,0.4752321330263207,2.5297645630721726,0.2758131331624062,0.9048035533741337,0.32465935151086556,0.05153846153846153,0.16352201257861634,0.0,0.17444286202604337
11,JPN,Japan,0.027918214698730806,2760,45,Optimization terminated successfully.,0.17888445905510986,0.15361185999698368,0.014354452581714527,0.9389085401275997,4.342400175002528,41.972363108940556,0.1773526773061451,3.268453557955062,4.828255684017474,37.92456089526078,8.300250580519174,0.34391134781755506,0.6467717586540731,0.05075842582623935,0.009230769230769265,0.16352201257861634,0.0,0.027918214698730806
12,KOR,South Korea,0.8667537096112499,18060,300,Maximum number of iterations has been exceeded.,0.9069575628269599,0.9694443289603274,0.10523577047435784,0.8964869266210693,0.3213332074899222,45.05183981329746,0.052380844074068726,3.6297616822692826,0.27316015455845566,3.5798874665160447,4.973083817092569,0.4455924813790315,0.3339319856969775,1.001931320503632,0.7561538461538462,0.16352201257861634,0.0,0.8667537096112499
13,MEX,Mexico,0.25462411222691833,18060,300,Maximum number of iterations has been exceeded.,0.09296730334084696,0.7576257626305405,0.06337394635999205,0.7409280288370818,0.5511418081285704,37.40064667737104,0.024754911222478443,1.4068783164184226,0.5220281190668801,15.998219770961068,1.2131117064455053,0.3711003187554752,0.9425493230449543,0.3298484545213569,0.19307692307692315,0.16352201257861634,0.0,0.25462411222691833
14,RUS,Russia,0.32729568953490695,18060,300,Maximum number of iterations has been exceeded.,0.08224001832870831,0.9834160213829024,0.010477293865117754,0.4066034885869867,1.9533691319448963,0.1550335602437194,0.07905768905948765,1.7884920120766257,3.7278931491064435,17.09927489650365,0.7299872324129302,0.11862948374006566,0.36391821333378926,0.6864106702314875,0.033474341692250165,0.16352201257861634,0.0,0.32729568953490695
