position,hs_product_code,product_name_short,product_name
0,0201,Beef,"Meat of bovine animals, fresh or chilled"
1,0203,Pork,"Meat of swine, fresh, chilled or frozen"
2,0207,Poultry,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen"
3,0303,"Frozen fish, excluding fillets","Fish, frozen, excluding fish fillets and other fish meat of heading 0304"
4,0306,Crustaceans,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine; flours, meals and pellets of crusta"
5,0402,"Milk, concentrated","Milk and cream, concentrated or containing added sugar or other sweetening matter"
6,0406,Cheese,Cheese and curd
7,0901,Coffee,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion"
8,1001,Wheat and meslin,Wheat and meslin
9,1005,Corn,Corn (maize)
10,1006,Rice,Rice
11,1201,Soya beans,Soya beans
12,1701,Sugarcane & sucrose,"Cane or beet sugar and chemically pure sucrose, in solid form"
13,1806,Chocolates,Chocolate and other food preparations containing cocoa
14,1905,Bakery products,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty capsules of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products"
15,2009,Fruit juices,"Fruit juices (including grape must) and vegetable juices, not fortified with vitamins or minerals, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter"
16,2106,Food preparations n.e.c.,Food preparations not elsewhere specified or included
17,2204,Wine,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 2009"
18,2208,Spirits < 80% alcohol,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80 percent vol.; spirits, liqueurs and other spirituous beverages"
19,2304,Solid soybean residues,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soybean oil"
20,2309,Animal feed,Preparations of a kind used in animal feeding
21,2402,Cigars and cigarettes,"Cigars, cheroots, cigarillos and cigarettes, of tobacco or of tobacco substitutes"
22,2601,Iron ores and concentrates,"Iron ores and concentrates, including roasted iron pyrites"
23,2603,Copper ore,Copper ores and concentrates
24,2701,Coal,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
25,2709,"Petroleum oils, crude","Petroleum oils and oils obtained from bituminous minerals, crude"
26,2710,"Petroleum oils, refined","Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70 percent or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils:"
27,2711,Petroleum gases,Petroleum gases and other gaseous hydrocarbons
28,2716,Electrical energy,Electrical energy
29,2901,Acyclic hydrocarbons,Acyclic hydrocarbons
30,2902,Cyclic hydrocarbons,Cyclic hydrocarbons
31,2905,Acyclic alcohols,"Acyclic alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives"
32,2933,Heterocyclic compounds with nitrogen hetero-atom(s) only,Heterocyclic compounds with nitrogen hetero-atom(s) only
33,2934,Nucleic acids and their salts,"Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds"
