rank,country_code,country_name,selection_score,spearman_C,end_gap_rel,composite,nrmse_C,n_years,first_year,last_year
1,FRA,France,0.11270807232837111,0.9724137931034481,0.08512186543181922,0.24474948848289396,0.5101712770884231,29,1996,2024
2,CHN,China,0.15488121416644302,0.9886699507389161,0.14355116490535907,0.07482527289058614,0.15243054621553326,29,1996,2024
3,KOR,South Korea,0.16126027609999544,0.8522167487684728,0.013477024868468204,0.3580127418558192,0.614959897063287,29,1996,2024
4,BRA,Brazil,0.20470734589214296,0.9679802955665024,0.1726876414586454,0.04089076517318057,0.05173317274390425,29,1996,2024
5,TUR,Turkiye,0.21412275695763622,0.9758620689655171,0.1899848259231533,0.03521392078821189,0.04875124159832507,29,1996,2024
6,USA,United States of America,0.2614033814195367,0.8921182266009852,0.15352160802052187,0.09176481560166097,0.07206631162711737,29,1996,2024
7,JPN,Japan,0.2626654477987564,0.9433497536945811,0.20601520149333746,0.17481058682903716,0.3192287808023483,29,1996,2024
8,ITA,Italy,0.32243170817967737,0.8586206896551722,0.1810523978348496,0.4526279324939856,0.833042915120734,29,1996,2024
9,DEU,Germany,0.3722733558952969,0.7906403940886698,0.16291374998396674,0.14434639125082235,0.06488579555464608,29,1996,2024
10,CAN,Canada,0.4396878539429854,0.7694581280788175,0.2091459820218029,0.3700291506237645,0.5405136023713647,29,1996,2024
11,MEX,Mexico,0.481189604527224,0.7226600985221673,0.20384970304939126,1.609337273616377,3.2373340617857083,29,1996,2024
12,IND,India,0.5623679171144899,0.9389162561576353,0.5012841732721252,0.13538777188588208,0.22620380616129218,29,1996,2024
13,SAU,Saudi Arabia,0.6703047115122629,0.7285714285714284,0.39887614008369127,0.3416491385154258,0.4274742760660252,29,1996,2024
14,GBR,United Kingdom,0.6791092056114283,0.9443349753694579,0.6234441809808862,0.32035124824407696,0.6438566326606195,29,1996,2024
15,AUS,Australia,0.8254835751671232,0.7837438423645319,0.6092274175316551,0.19659946996388722,0.17257462947639943,29,1996,2024
16,IDN,Indonesia,1.0916890173628278,0.004926108374384235,0.09661512573721194,0.6192052246385461,0.1598101872099053,29,1996,2024
17,RUS,Russia,1.1710172073362666,0.6256157635467978,0.7966329708830644,0.7285585288100365,1.1614382194683894,29,1996,2024
18,ARG,Argentina,1.5744597264593212,-0.3866995073891625,0.18776021907015883,0.7874230227323223,0.05497398592951767,29,1996,2024
19,ZAF,South Africa,1.8695274008950453,0.668804454171836,1.5383318550668814,0.35851010780874837,0.3918945724516847,29,1996,2024
