country_code,country_name,calib_mass_weighted,calib_mean,calib_median,calib_p25,calib_p75,calib_frac_pos,calib_frac_above_0_5,valid_mass_weighted,valid_mean,valid_median,valid_p25,valid_p75,valid_frac_pos,valid_frac_above_0_5,n_active
ARG,Argentina,0.1997,0.0619,0.0558,-0.1768,0.2479,0.5263,0.1053,-0.4341,-0.1566,-0.2000,-0.6667,0.3758,0.3684,0.2105,100
AUS,Australia,-0.2636,0.1597,0.1745,-0.0710,0.5622,0.7143,0.2857,0.3922,0.1570,0.3030,-0.1273,0.4909,0.6429,0.2143,100
BRA,Brazil,-0.0818,0.1734,0.1421,0.0502,0.4201,0.8000,0.1600,-0.0315,-0.2718,-0.3818,-0.6848,0.1515,0.3200,0.0400,100
CAN,Canada,-0.2071,-0.0782,-0.0170,-0.4409,0.1386,0.4615,0.0769,0.2439,0.1281,0.2000,-0.4727,0.7515,0.5897,0.3846,100
CHN,China,0.3692,0.3634,0.3830,0.1815,0.6602,0.8293,0.3659,0.0798,0.0442,0.0909,-0.5394,0.5515,0.5610,0.2927,100
DEU,Germany,-0.2905,-0.1841,-0.1011,-0.6568,0.1317,0.4043,0.0851,-0.1265,-0.0925,-0.1515,-0.4485,0.1818,0.3830,0.1277,99
FRA,France,-0.2970,-0.0853,-0.0714,-0.3573,0.1210,0.4400,0.1000,0.1431,0.3835,0.6364,0.0520,0.8121,0.7692,0.6154,100
GBR,United Kingdom,0.4139,0.3261,0.2710,0.0614,0.5815,0.8710,0.3548,-0.1556,0.0182,-0.0788,-0.4242,0.4788,0.4839,0.2581,100
IDN,Indonesia,-0.0169,0.1110,0.1282,-0.1100,0.3722,0.6071,0.0714,-0.0203,0.0628,0.0848,-0.6242,0.7242,0.5714,0.3929,100
IND,India,0.2720,0.2115,0.2958,-0.0486,0.4907,0.6842,0.2632,0.2701,0.0641,0.1515,-0.1333,0.2545,0.6842,0.0526,100
ITA,Italy,0.0565,0.1168,0.1946,-0.1425,0.3714,0.5814,0.1860,0.1325,0.2524,0.4788,-0.3394,0.8424,0.6744,0.4884,99
JPN,Japan,0.2393,0.2277,0.2695,0.0788,0.4309,0.8113,0.1887,-0.0523,0.0491,0.0182,-0.4545,0.5758,0.5094,0.3208,100
KOR,South Korea,0.1209,0.1660,0.1135,-0.2278,0.6463,0.6061,0.3030,-0.1210,-0.1673,-0.2364,-0.7333,0.2606,0.3636,0.2121,100
MEX,Mexico,0.3277,0.2601,0.2425,0.0039,0.6749,0.7568,0.3784,-0.0101,-0.0172,0.0061,-0.5273,0.5030,0.5135,0.2703,100
RUS,Russia,-0.0737,0.3311,0.3369,0.1558,0.6191,0.8429,0.3714,-0.0794,0.1636,0.3515,-0.3152,0.6364,0.6447,0.3421,100
SAU,Saudi Arabia,-0.1085,-0.0477,-0.0680,-0.1282,-0.0046,0.2000,0.0000,0.4251,-0.0400,-0.0061,-0.9273,0.7939,0.4000,0.4000,100
TUR,Turkiye,0.3036,0.2291,0.1344,0.0046,0.5480,0.7586,0.2759,-0.1400,-0.1110,-0.2000,-0.5394,0.4788,0.3448,0.2069,100
USA,United States of America,0.0002,0.0555,0.0548,-0.2517,0.3560,0.5082,0.1803,0.0954,0.0631,0.1152,-0.3758,0.4788,0.5556,0.2381,100
ZAF,South Africa,0.4321,0.3077,0.4745,0.3919,0.5265,0.8000,0.4500,0.0978,0.2860,0.4424,-0.1576,0.7485,0.7000,0.5000,100
