country_code,country_name,product_idx,product_name,mean_obs_mass,active,corr_calib,corr_valid
ARG,Argentina,0,Wheat and meslin,1.242921e-01,1,0.2154,0.2364
ARG,Argentina,1,Corn,2.608577e-01,1,0.4703,-0.6970
ARG,Argentina,2,Wine,3.800885e-02,1,0.6479,-0.6364
ARG,Argentina,3,Coal,7.427989e-05,1,,
ARG,Argentina,4,"Petroleum oils, crude",8.915948e-03,1,0.4865,-0.5273
ARG,Argentina,5,"Petroleum oils, refined",9.489384e-03,1,-0.2764,-0.5636
ARG,Argentina,6,Petroleum gases,9.212458e-03,1,-0.0347,0.6364
ARG,Argentina,7,Cyclic hydrocarbons,6.403058e-03,1,-0.5375,0.3697
ARG,Argentina,8,Heterocyclic compounds with nitrogen hetero-atom(s) only,1.087907e-03,1,,
ARG,Argentina,9,"Medicaments, packaged",4.606568e-03,1,,
ARG,Argentina,10,Industrial monocarboxylic fatty acids,2.685067e-02,1,,
ARG,Argentina,11,Polymers of ethylene,1.137623e-02,1,,
ARG,Argentina,12,Polyacetals,4.588548e-03,1,0.2263,-0.8788
ARG,Argentina,13,"Other plates of plastics, noncellular and not reinforced",5.564806e-03,1,,
ARG,Argentina,14,Packing lids,5.968110e-03,1,,
ARG,Argentina,15,Other articles of plastic,1.144832e-03,1,,
ARG,Argentina,16,New pneumatic tires of rubber,6.432961e-03,1,-0.1390,0.3818
ARG,Argentina,17,Tanned hides of bovines or equines,1.163841e-01,1,-0.2147,-0.9152
ARG,Argentina,18,Trunks or cases,5.746322e-04,1,,
ARG,Argentina,19,Wood sawn lengthwise,3.101598e-03,1,,
ARG,Argentina,20,"Chemical woodpulp, soda or sulfate",1.217787e-02,1,-0.3583,-0.6364
ARG,Argentina,21,"Paper and paperboard, coated with kaolin",3.767959e-04,1,,
ARG,Argentina,22,Woven fabrics of synthetic filament yarn,5.150207e-04,1,,
ARG,Argentina,23,"T-shirts, knit",5.398174e-04,1,,
ARG,Argentina,24,"Sweaters, pullovers, sweatshirts etc., knit",4.061840e-04,1,,
ARG,Argentina,25,Men's suits and pants,2.182414e-04,1,,
ARG,Argentina,26,Women's suits and pants,3.443140e-04,1,,
ARG,Argentina,27,Leather footwear,7.657305e-04,1,,
ARG,Argentina,28,Diamonds,2.107932e-05,1,,
ARG,Argentina,29,Gold,9.177905e-03,1,,
ARG,Argentina,30,Platinum,1.225702e-04,1,,
ARG,Argentina,31,Jewelry of precious metal,1.330045e-04,1,,
ARG,Argentina,32,"Flat-rolled iron, width > 600mm, hot-rolled, not clad",3.387247e-03,1,,
ARG,Argentina,33,"Flat rolled iron, width > 600mm, clad",5.942145e-03,1,-0.1174,-0.1758
ARG,Argentina,34,Other articles of iron or steel,2.498689e-03,1,,
ARG,Argentina,35,Unwrought aluminum,2.283091e-02,1,0.1853,-0.9030
ARG,Argentina,36,Aluminum plates > 0.2 mm,5.306209e-04,1,,
ARG,Argentina,37,Spark-ignition reciprocating internal combustion piston engines,2.721056e-03,1,,
ARG,Argentina,38,Compression-ignition internal combustion piston engines,8.335390e-03,1,0.2695,0.8788
ARG,Argentina,39,Parts suitable for use with spark-ignition engines,5.781122e-03,1,,
ARG,Argentina,40,Gas turbines,6.610010e-04,1,,
ARG,Argentina,41,Pumps for liquids,4.286538e-03,1,,
ARG,Argentina,42,"Pumps, compressors, fans, etc.",1.934871e-03,1,,
ARG,Argentina,43,Air conditioners,8.087328e-04,1,,
ARG,Argentina,44,"Refrigerators, freezers",3.279815e-03,1,,
ARG,Argentina,45,Equipment for temperature change of materials,3.978563e-03,1,,
ARG,Argentina,46,Centrifuges,2.746946e-03,1,,
ARG,Argentina,47,Dish washing machines,4.098018e-03,1,,
ARG,Argentina,48,"Self-propelled bulldozers, excavators and road rollers",2.283192e-04,1,,
ARG,Argentina,49,Parts for use with hoists and excavation machinery,1.202131e-03,1,,
ARG,Argentina,50,Printers and copiers,5.189813e-04,1,,
ARG,Argentina,51,Computers,1.636159e-04,1,,
ARG,Argentina,52,Parts and accessories for office machines,1.474683e-04,1,,
ARG,Argentina,53,Machinery for working rubber or plastics,9.058322e-04,1,,
ARG,Argentina,54,Machines n.e.c.,1.288700e-03,1,,
