output,parameter,S1,S1_conf,ST,ST_conf
avg_P,nu,0.00033,0.00104,0.0013,0.00082
avg_P,G,-0.0,0.00014,5e-05,4e-05
avg_P,q,0.00025,0.00048,0.00054,0.00033
avg_P,log10_mu,1e-05,5e-05,2e-05,3e-05
avg_P,beta_trade_off,0.0015,0.00219,0.00171,0.0012
avg_P,h_mean,0.12699,0.06505,0.40858,0.19296
avg_P,r_mean,0.00096,0.00157,0.00204,0.00099
avg_P,C_diag_mean,0.07556,0.04298,0.51218,0.45363
avg_P,C_offdiag_mean,0.10863,0.0727,0.45508,0.20964
avg_P,s,0.00493,0.00506,0.02814,0.01958
avg_P,c,0.01336,0.0101,0.11577,0.12027
avg_P,c_prime,0.00637,0.00528,0.05148,0.03349
avg_P,gamma,-0.00063,0.00089,0.0008,0.00077
avg_P,kappa,0.00026,0.0005,0.00031,0.00024
avg_P,sigma,3e-05,0.00222,0.00115,0.00084
avg_P,entry_threshold,0.0,0.0,0.0,0.0
avg_C,nu,0.00033,0.00068,0.00073,0.00081
avg_C,G,-1e-05,7e-05,3e-05,7e-05
avg_C,q,-0.00084,0.00516,0.02093,0.01857
avg_C,log10_mu,-1e-05,5e-05,1e-05,2e-05
avg_C,beta_trade_off,0.00147,0.00192,0.00548,0.00574
avg_C,h_mean,0.04926,0.06496,0.23949,0.23013
avg_C,r_mean,0.0004,0.00175,0.00181,0.00223
avg_C,C_diag_mean,0.02545,0.03619,0.32489,0.25547
avg_C,C_offdiag_mean,0.06746,0.0896,0.41933,0.32963
avg_C,s,5e-05,0.0007,0.00124,0.00149
avg_C,c,-0.0,0.00058,0.00084,0.00112
avg_C,c_prime,0.00041,0.00067,0.00079,0.00098
avg_C,gamma,3e-05,0.00081,0.00143,0.00154
avg_C,kappa,0.00026,0.00039,0.00021,0.00026
avg_C,sigma,-0.00115,0.00306,0.02528,0.03683
avg_C,entry_threshold,0.0,0.0,0.0,0.0

output,param_i,param_j,S2,S2_conf
avg_P,nu,G,-0.00083,0.00204
avg_P,nu,q,-0.00084,0.00205
avg_P,nu,log10_mu,-0.00084,0.00204
avg_P,nu,beta_trade_off,-0.00083,0.00202
avg_P,nu,h_mean,0.00207,0.00529
avg_P,nu,r_mean,-0.00083,0.00208
avg_P,nu,C_diag_mean,-0.00219,0.00387
avg_P,nu,C_offdiag_mean,-0.001,0.00185
avg_P,nu,s,-0.00069,0.00201
avg_P,nu,c,-0.0009,0.00183
avg_P,nu,c_prime,-0.00073,0.00204
avg_P,nu,gamma,-0.00079,0.00203
avg_P,nu,kappa,-0.00085,0.00204
avg_P,nu,sigma,-0.00084,0.00205
avg_P,nu,entry_threshold,-0.00084,0.00204
avg_P,G,q,0.0003,0.00056
avg_P,G,log10_mu,0.00031,0.00056
avg_P,G,beta_trade_off,0.0003,0.00055
avg_P,G,h_mean,0.00226,0.00484
avg_P,G,r_mean,0.00031,0.00059
avg_P,G,C_diag_mean,0.00019,0.00066
avg_P,G,C_offdiag_mean,2e-05,0.00018
avg_P,G,s,0.00035,0.00053
avg_P,G,c,0.00027,0.00043
avg_P,G,c_prime,0.00033,0.00068
avg_P,G,gamma,0.00031,0.00055
avg_P,G,kappa,0.00031,0.00055
avg_P,G,sigma,0.00031,0.00055
avg_P,G,entry_threshold,0.00031,0.00056
avg_P,q,log10_mu,6e-05,0.00083
avg_P,q,beta_trade_off,9e-05,0.00083
avg_P,q,h_mean,-0.00111,0.00147
avg_P,q,r_mean,4e-05,0.00085
avg_P,q,C_diag_mean,-0.00013,0.00097
avg_P,q,C_offdiag_mean,-0.00052,0.00113
avg_P,q,s,0.00013,0.00075
avg_P,q,c,-0.0,0.0009
avg_P,q,c_prime,-0.00013,0.0008
avg_P,q,gamma,6e-05,0.00083
avg_P,q,kappa,6e-05,0.00084
avg_P,q,sigma,0.0001,0.00083
avg_P,q,entry_threshold,6e-05,0.00083
avg_P,log10_mu,beta_trade_off,-0.0001,0.00015
