rank,parameter,robust_score,score,output_cv,ST_loss_total,ST_rank_C,ST_rank_products,STconf_loss_total,STconf_rank_C,STconf_rank_products,recommended_status,selection_reason
1,C_offdiag_mean,0.372245,0.44125,0.0508,0.45273,0.40598,0.45356,0.06145,0.05415,0.09897,free,top_ST
2,c_prime,0.235695,0.281765,0.3148,0.31561,0.34459,0.15125,0.04393,0.05391,0.04251,free,top_ST
3,beta_trade_off,0.204478,0.26211,0.3482,0.19241,0.24054,0.42308,0.03542,0.04303,0.11666,free,top_ST
4,sigma,0.17438,0.209685,0.5802,0.25738,0.28821,0.03577,0.03746,0.04846,0.01784,free,top_ST
5,entry_threshold,0.132148,0.177615,1.0631,0.08437,0.02136,0.52036,0.02173,0.00695,0.13146,free,top_ST
6,h_mean,0.125268,0.16288,0.2634,0.14283,0.13337,0.23249,0.02296,0.02548,0.07905,free,top_ST
7,C_diag_mean,0.1227,0.162975,0.2335,0.17189,0.19864,0.10948,0.03361,0.04656,0.04732,free,top_ST
8,c,0.063372,0.079037,0.2086,0.08544,0.09084,0.05443,0.0141,0.0144,0.02006,fixed,not_selected
9,gamma,0.059317,0.07253,0.7041,0.09114,0.10693,0.00091,0.01702,0.01826,0.00055,fixed,not_selected
10,nu,0.057055,0.076355,0.2384,0.08235,0.09094,0.04978,0.0167,0.01975,0.02405,fixed,not_selected
11,s,0.03653,0.051365,0.4069,0.05921,0.06606,0.02098,0.0149,0.01806,0.01148,fixed,not_selected
12,kappa,0.03191,0.039602,0.6163,0.04882,0.05582,0.00495,0.0094,0.01032,0.00165,fixed,not_selected
