output,parameter,S1,S1_conf,ST,ST_conf
loss_total,beta_trade_off,0.01457,0.02477,0.06955,0.05504
loss_total,sigma,0.10817,0.04295,0.17588,0.06912
loss_total,h_mean,0.4668,0.14018,0.82488,0.15049
loss_total,kappa,0.00244,0.00926,0.01164,0.00585
loss_total,nu,-0.00183,0.01473,0.02709,0.01192
loss_total,G,-0.00061,0.0074,0.01673,0.00602
loss_total,entry_threshold,-0.0011,0.00155,0.00054,0.00083
loss_total,s,0.02114,0.02825,0.25789,0.205
loss_total,c,0.016,0.01621,0.06319,0.02605
loss_total,c_prime,0.04941,0.08246,0.19975,0.09749
loss_total,gamma,0.00687,0.01317,0.01019,0.00545
nrmse_C,beta_trade_off,-0.00116,0.02558,0.19017,0.09806
nrmse_C,sigma,0.30126,0.10297,0.58838,0.07594
nrmse_C,h_mean,0.30245,0.10709,0.69512,0.19195
nrmse_C,kappa,0.00287,0.01354,0.02651,0.00741
nrmse_C,nu,-0.00691,0.02537,0.16091,0.16693
nrmse_C,G,0.00374,0.01322,0.12357,0.14131
nrmse_C,entry_threshold,-0.00241,0.00389,0.00119,0.00168
nrmse_C,s,-0.01268,0.04238,0.50863,0.80716
nrmse_C,c,-0.01052,0.02609,0.05999,0.04925
nrmse_C,c_prime,0.00556,0.02434,0.13591,0.11654
nrmse_C,gamma,-0.00307,0.01218,0.05293,0.03489
traj_corr_C,beta_trade_off,0.0085,0.02932,0.15345,0.03247
traj_corr_C,sigma,0.42413,0.08457,0.65387,0.09822
traj_corr_C,h_mean,0.24304,0.12115,0.46251,0.08108
traj_corr_C,kappa,0.01459,0.01976,0.04186,0.01503
traj_corr_C,nu,0.00505,0.02303,0.10932,0.03169
traj_corr_C,G,-0.00411,0.0171,0.09296,0.04537
traj_corr_C,entry_threshold,-0.0027,0.00431,0.00034,0.00057
traj_corr_C,s,0.0194,0.03173,0.1521,0.05297
traj_corr_C,c,-0.00038,0.01751,0.05431,0.02399
traj_corr_C,c_prime,0.02604,0.02686,0.14611,0.0426
traj_corr_C,gamma,0.00388,0.01387,0.05931,0.02652
rank_products,beta_trade_off,-0.00429,0.0267,0.08999,0.02931
rank_products,sigma,0.36895,0.078,0.59148,0.08849
rank_products,h_mean,0.16687,0.07283,0.36015,0.10378
rank_products,kappa,0.00325,0.01569,0.02448,0.00692
rank_products,nu,-0.00029,0.02815,0.08779,0.02068
rank_products,G,0.00088,0.02551,0.10445,0.02498
rank_products,entry_threshold,-0.0016,0.00339,0.00066,0.00138
rank_products,s,0.02242,0.02573,0.11541,0.03683
rank_products,c,0.01288,0.02236,0.06739,0.0462
rank_products,c_prime,0.02407,0.05251,0.1759,0.07912
rank_products,gamma,-0.00021,0.00297,0.00171,0.00145
nrmse_P,beta_trade_off,0.00623,0.01012,0.05138,0.06062
nrmse_P,sigma,0.00399,0.01193,0.04796,0.05912
nrmse_P,h_mean,0.4284,0.1829,0.89722,0.22263
nrmse_P,kappa,-0.00074,0.0041,0.00502,0.00528
nrmse_P,nu,-0.00076,0.00447,0.01066,0.01197
nrmse_P,G,0.00037,0.00219,0.002,0.00283
nrmse_P,entry_threshold,0.00028,0.00044,0.00022,0.00031
nrmse_P,s,0.01254,0.04094,0.29491,0.20273
nrmse_P,c,0.0263,0.01323,0.0784,0.03434
nrmse_P,c_prime,0.08266,0.08206,0.28269,0.11371
nrmse_P,gamma,0.00031,0.00106,0.00048,0.00063
