output,param_i,param_j,S2,S2_conf
loss_total,s,c,0.00173,0.01688
loss_total,s,c_prime,0.01092,0.02189
loss_total,s,gamma,-0.00249,0.01671
loss_total,s,kappa,-0.00204,0.0179
loss_total,s,sigma,-0.00458,0.01803
loss_total,s,nu,-0.00449,0.01673
loss_total,s,beta_trade_off,-0.00552,0.01846
loss_total,s,h_mean,0.00332,0.01785
loss_total,s,C_diag_mean,0.00368,0.0172
loss_total,s,C_offdiag_mean,0.00979,0.02373
loss_total,s,entry_threshold,-0.00079,0.01887
loss_total,c,c_prime,0.0021,0.02432
loss_total,c,gamma,-0.01606,0.02433
loss_total,c,kappa,-0.01378,0.02409
loss_total,c,sigma,-0.01606,0.02126
loss_total,c,nu,-0.00589,0.02447
loss_total,c,beta_trade_off,-0.02212,0.02146
loss_total,c,h_mean,0.00115,0.0237
loss_total,c,C_diag_mean,-0.015,0.02531
loss_total,c,C_offdiag_mean,-0.00629,0.02558
loss_total,c,entry_threshold,-0.01268,0.02451
loss_total,c_prime,gamma,-0.00501,0.05049
loss_total,c_prime,kappa,-0.01643,0.05199
loss_total,c_prime,sigma,-0.00784,0.0544
loss_total,c_prime,nu,-0.01295,0.0525
loss_total,c_prime,beta_trade_off,-0.00647,0.05549
loss_total,c_prime,h_mean,-0.00995,0.05257
loss_total,c_prime,C_diag_mean,-0.00104,0.05346
loss_total,c_prime,C_offdiag_mean,-0.0291,0.06497
loss_total,c_prime,entry_threshold,-0.00504,0.0558
loss_total,gamma,kappa,0.00234,0.02104
loss_total,gamma,sigma,0.00737,0.02142
loss_total,gamma,nu,0.0015,0.02125
loss_total,gamma,beta_trade_off,0.01145,0.02163
loss_total,gamma,h_mean,-0.00138,0.02146
loss_total,gamma,C_diag_mean,0.00154,0.02008
loss_total,gamma,C_offdiag_mean,0.02368,0.02664
loss_total,gamma,entry_threshold,-0.00335,0.02132
loss_total,kappa,sigma,-0.00776,0.01503
loss_total,kappa,nu,-0.00708,0.01893
loss_total,kappa,beta_trade_off,-0.00029,0.01824
loss_total,kappa,h_mean,-0.00308,0.01719
loss_total,kappa,C_diag_mean,-0.0108,0.01805
loss_total,kappa,C_offdiag_mean,-0.01079,0.01951
