output,parameter,S1,S1_conf,ST,ST_conf
d_collapse,nu,0.02202,0.00979,0.17909,0.02408
d_collapse,G,0.0028,0.00517,0.1346,0.02838
d_collapse,q,0.02064,0.00934,0.29844,0.03368
d_collapse,log10_mu,0.00308,0.00833,0.30395,0.03515
d_collapse,beta_trade_off,0.02238,0.01471,0.48023,0.0426
d_collapse,h_mean,0.15803,0.03752,0.95732,0.06024
d_collapse,r_mean,0.03171,0.01329,0.45018,0.03853
d_collapse,C_diag_mean,0.07413,0.01961,0.66459,0.04383
d_collapse,C_offdiag_mean,0.01326,0.01279,0.53714,0.03472
d_recovery,nu,0.00288,0.00625,0.1936,0.04511
d_recovery,G,0.00444,0.00488,0.22342,0.04245
d_recovery,q,0.04309,0.01429,0.46389,0.0455
d_recovery,log10_mu,0.00608,0.00797,0.3756,0.04923
d_recovery,beta_trade_off,0.02654,0.01169,0.54602,0.05195
d_recovery,h_mean,0.082,0.04079,0.90401,0.06321
d_recovery,r_mean,0.05625,0.0145,0.60665,0.05137
d_recovery,C_diag_mean,0.02462,0.01231,0.7095,0.0562
d_recovery,C_offdiag_mean,0.01606,0.01276,0.61817,0.05634
hysteresis_width,nu,0.04103,0.01665,0.41601,0.06799
hysteresis_width,G,0.00352,0.01059,0.23633,0.05436
hysteresis_width,q,0.01641,0.02168,0.41636,0.04853
hysteresis_width,log10_mu,0.00084,0.01414,0.35217,0.05639
hysteresis_width,beta_trade_off,0.00836,0.01723,0.54526,0.07039
hysteresis_width,h_mean,0.09347,0.04178,0.92231,0.05985
hysteresis_width,r_mean,0.00579,0.01564,0.45611,0.05358
hysteresis_width,C_diag_mean,0.05112,0.03205,0.70725,0.05129
hysteresis_width,C_offdiag_mean,0.01336,0.01772,0.51547,0.04704

output,param_i,param_j,S2,S2_conf
d_collapse,nu,G,0.00616,0.02393
d_collapse,nu,q,0.02632,0.02309
d_collapse,nu,log10_mu,0.00991,0.0247
d_collapse,nu,beta_trade_off,0.05326,0.02755
d_collapse,nu,h_mean,0.26348,0.06074
d_collapse,nu,r_mean,0.02065,0.02551
d_collapse,nu,C_diag_mean,0.08523,0.02802
d_collapse,nu,C_offdiag_mean,0.01802,0.02466
d_collapse,G,q,0.01189,0.02132
d_collapse,G,log10_mu,0.0034,0.02165
d_collapse,G,beta_trade_off,0.0322,0.02426
d_collapse,G,h_mean,0.21573,0.05497
d_collapse,G,r_mean,0.01232,0.02243
d_collapse,G,C_diag_mean,0.06024,0.02477
d_collapse,G,C_offdiag_mean,0.00887,0.02135
d_collapse,q,log10_mu,0.00446,0.02147
d_collapse,q,beta_trade_off,0.03582,0.02385
d_collapse,q,h_mean,0.18578,0.05574
d_collapse,q,r_mean,0.01136,0.0227
d_collapse,q,C_diag_mean,0.05677,0.02664
d_collapse,q,C_offdiag_mean,0.00757,0.02128
d_collapse,log10_mu,beta_trade_off,0.02157,0.02131
d_collapse,log10_mu,h_mean,0.14808,0.04439
d_collapse,log10_mu,r_mean,0.00427,0.02159
d_collapse,log10_mu,C_diag_mean,0.037,0.02363
d_collapse,log10_mu,C_offdiag_mean,0.00355,0.02074
d_collapse,beta_trade_off,h_mean,0.17385,0.05616
d_collapse,beta_trade_off,r_mean,0.03311,0.02324
d_collapse,beta_trade_off,C_diag_mean,0.06342,0.02578
d_collapse,beta_trade_off,C_offdiag_mean,0.0327,0.02258
d_collapse,h_mean,r_mean,0.03755,0.0663
d_collapse,h_mean,C_diag_mean,0.09561,0.07485
d_collapse,h_mean,C_offdiag_mean,0.04528,0.06293
d_collapse,r_mean,C_diag_mean,0.01324,0.01702
d_collapse,r_mean,C_offdiag_mean,-0.00193,0.01869
d_collapse,C_diag_mean,C_offdiag_mean,-0.02981,0.02521
d_recovery,nu,G,-0.00905,0.0217
