output,parameter,S1,S1_conf,ST,ST_conf
d_collapse,nu,-0.00523,0.00748,0.18821,0.034
d_collapse,G,0.00546,0.01372,0.39709,0.04613
d_collapse,q,0.01307,0.01441,0.40766,0.04967
d_collapse,log10_mu,0.00858,0.01545,0.57231,0.0557
d_collapse,beta_trade_off,0.00219,0.01884,0.59184,0.06052
d_collapse,h_mean,0.01548,0.02614,0.78983,0.07206
d_collapse,r_mean,0.01378,0.02663,0.69043,0.06556
d_collapse,C_diag_mean,0.0315,0.02757,0.81678,0.072
d_collapse,C_offdiag_mean,0.01929,0.02797,0.77916,0.06613
d_collapse,s,0.03318,0.0305,0.84072,0.06851
d_collapse,c,0.02242,0.02779,0.79265,0.06701
d_collapse,c_prime,0.05248,0.03192,0.92064,0.0787
d_collapse,gamma,0.04567,0.0313,0.84792,0.07303
d_collapse,kappa,0.08982,0.03356,0.93135,0.07987
d_collapse,sigma,0.06148,0.03111,0.94458,0.0749
d_collapse,entry_threshold,0.1194,0.04037,0.9981,0.08476
d_recovery,nu,-0.00267,0.00864,0.20704,0.0369
d_recovery,G,0.0059,0.01479,0.41531,0.05533
d_recovery,q,0.01478,0.01328,0.42316,0.05185
d_recovery,log10_mu,0.01072,0.01496,0.5925,0.06445
d_recovery,beta_trade_off,0.00516,0.01877,0.60025,0.05924
d_recovery,h_mean,0.01734,0.0295,0.78891,0.07599
d_recovery,r_mean,0.01116,0.02531,0.70958,0.06748
d_recovery,C_diag_mean,0.0303,0.0343,0.84464,0.07374
d_recovery,C_offdiag_mean,0.01324,0.0275,0.80764,0.07233
d_recovery,s,0.02631,0.03364,0.87477,0.07605
d_recovery,c,0.01888,0.03157,0.83537,0.0731
d_recovery,c_prime,0.04533,0.03681,0.96648,0.08163
d_recovery,gamma,0.04083,0.03419,0.87243,0.07144
d_recovery,kappa,0.07441,0.04391,0.96639,0.08451
d_recovery,sigma,0.05328,0.03608,0.99081,0.08254
d_recovery,entry_threshold,0.10519,0.04501,1.0,0.07752
hysteresis_width,nu,-0.01031,0.01126,0.35708,0.12895
hysteresis_width,G,-0.0078,0.01199,0.4211,0.115
hysteresis_width,q,-0.01046,0.0116,0.45751,0.13997
hysteresis_width,log10_mu,-0.00403,0.00873,0.56713,0.14362
hysteresis_width,beta_trade_off,-0.00475,0.00939,0.65044,0.17293
hysteresis_width,h_mean,-0.00568,0.01103,0.71918,0.20784
hysteresis_width,r_mean,-0.00576,0.00994,0.65676,0.15486
hysteresis_width,C_diag_mean,-0.0034,0.01125,0.8878,0.17948
hysteresis_width,C_offdiag_mean,-0.00907,0.00989,0.74231,0.16417
hysteresis_width,s,-0.0081,0.01469,0.82296,0.16757
hysteresis_width,c,-0.00954,0.01336,0.75005,0.14888
hysteresis_width,c_prime,0.0139,0.03074,0.79368,0.17092
hysteresis_width,gamma,0.00642,0.02385,0.87629,0.1895
hysteresis_width,kappa,0.00278,0.02929,0.90307,0.1697
hysteresis_width,sigma,0.01347,0.02617,0.83213,0.16539
hysteresis_width,entry_threshold,0.0197,0.03688,0.9668,0.20208

output,param_i,param_j,S2,S2_conf
d_collapse,nu,G,0.07077,0.03667
d_collapse,nu,q,0.08617,0.04114
d_collapse,nu,log10_mu,0.17327,0.0619
d_collapse,nu,beta_trade_off,0.15929,0.05777
d_collapse,nu,h_mean,0.24579,0.06721
d_collapse,nu,r_mean,0.1898,0.05917
d_collapse,nu,C_diag_mean,0.25684,0.06226
d_collapse,nu,C_offdiag_mean,0.25072,0.06154
d_collapse,nu,s,0.31449,0.06513
d_collapse,nu,c,0.3421,0.06955
d_collapse,nu,c_prime,0.37505,0.08334
d_collapse,nu,gamma,0.36626,0.08089
d_collapse,nu,kappa,0.45241,0.09629
d_collapse,nu,sigma,0.49794,0.09836
d_collapse,nu,entry_threshold,0.5902,0.11195
d_collapse,G,q,0.01053,0.03343
d_collapse,G,log10_mu,0.11685,0.05378
d_collapse,G,beta_trade_off,0.09896,0.05029
d_collapse,G,h_mean,0.15755,0.06011
d_collapse,G,r_mean,0.13573,0.05228
d_collapse,G,C_diag_mean,0.19998,0.05569
d_collapse,G,C_offdiag_mean,0.16607,0.05408
d_collapse,G,s,0.20599,0.05668
d_collapse,G,c,0.22879,0.06335
d_collapse,G,c_prime,0.31867,0.07961
d_collapse,G,gamma,0.29017,0.07124
d_collapse,G,kappa,0.34783,0.08157
d_collapse,G,sigma,0.39586,0.08134
d_collapse,G,entry_threshold,0.48825,0.09607
d_collapse,q,log10_mu,0.07086,0.04962
d_collapse,q,beta_trade_off,0.08725,0.04854
d_collapse,q,h_mean,0.14071,0.05771
d_collapse,q,r_mean,0.12129,0.05013
d_collapse,q,C_diag_mean,0.18618,0.05399
d_collapse,q,C_offdiag_mean,0.16114,0.05262
d_collapse,q,s,0.19906,0.05335
d_collapse,q,c,0.21726,0.05892
d_collapse,q,c_prime,0.31012,0.07598
d_collapse,q,gamma,0.28164,0.06899
d_collapse,q,kappa,0.29143,0.07778
d_collapse,q,sigma,0.33042,0.07702
d_collapse,q,entry_threshold,0.4214,0.09166
d_collapse,log10_mu,beta_trade_off,0.02567,0.03927
d_collapse,log10_mu,h_mean,0.08374,0.05037
d_collapse,log10_mu,r_mean,0.06248,0.04029
d_collapse,log10_mu,C_diag_mean,0.11359,0.04698
d_collapse,log10_mu,C_offdiag_mean,0.10329,0.04849
d_collapse,log10_mu,s,0.16589,0.05644
d_collapse,log10_mu,c,0.13973,0.05321
d_collapse,log10_mu,c_prime,0.22124,0.06388
d_collapse,log10_mu,gamma,0.20304,0.05844
d_collapse,log10_mu,kappa,0.24531,0.06686
d_collapse,log10_mu,sigma,0.28529,0.06517
d_collapse,log10_mu,entry_threshold,0.35749,0.07898
d_collapse,beta_trade_off,h_mean,0.053,0.0413
d_collapse,beta_trade_off,r_mean,0.07088,0.04077
d_collapse,beta_trade_off,C_diag_mean,0.13998,0.0497
d_collapse,beta_trade_off,C_offdiag_mean,0.12942,0.05081
d_collapse,beta_trade_off,s,0.18774,0.0602
d_collapse,beta_trade_off,c,0.1542,0.05169
d_collapse,beta_trade_off,c_prime,0.22342,0.05981
d_collapse,beta_trade_off,gamma,0.22931,0.05694
