output,parameter,S1,S1_conf,ST,ST_conf
d_collapse,nu,0.0,0.0,0.0,0.0
d_collapse,G,0.0,0.0,0.0,0.0
d_collapse,mu,0.0,0.0,0.0,0.0
d_collapse,beta_trade_off,0.0,0.0,0.0,0.0
d_collapse,h_mean,0.0,0.0,0.0,0.0
d_collapse,r_mean,0.0,0.0,0.0,0.0
d_collapse,C_diag_mean,0.0,0.0,0.0,0.0
d_collapse,s,0.0,0.0,0.0,0.0
d_collapse,c,0.0,0.0,0.0,0.0
d_collapse,c_prime,0.0,0.0,0.0,0.0
d_collapse,gamma,0.0,0.0,0.0,0.0
d_collapse,kappa,0.0,0.0,0.0,0.0
d_collapse,sigma,0.0,0.0,0.0,0.0
d_recovery,nu,0.0,1.2914337474082915e+29,2.01575,3.646401169152469e+30
d_recovery,G,0.0,1.2914337474082915e+29,2.01575,3.646401169152469e+30
d_recovery,mu,-0.0357,1.2914337474082915e+29,1.00787,3.646401169152469e+30
d_recovery,beta_trade_off,-0.0357,1.7998833739170925e+29,5.03937,1.0164047288001435e+31
d_recovery,h_mean,0.0,1.1146571506111003e+29,2.01575,3.147267248783977e+30
d_recovery,r_mean,0.0357,0.03239,1.00787,0.91467
d_recovery,C_diag_mean,-0.0357,1.2914337474082915e+29,1.00787,3.646401169152469e+30
d_recovery,s,-0.0357,0.03239,1.00787,0.91467
d_recovery,c,0.0357,0.03239,1.00787,0.91467
d_recovery,c_prime,-0.07139,2.5828674948165882e+29,4.0315,1.458560467660994e+31
d_recovery,gamma,0.0,1.2914337474082915e+29,2.01575,3.646401169152469e+30
d_recovery,kappa,0.0357,0.03239,1.00787,0.91467
d_recovery,sigma,0.0,1.1114115351490446e+29,2.01575,3.1381031580675856e+30
hysteresis_width,nu,0.0,3.302808001704977e+29,2.01575,1.1323913148702766e+31
hysteresis_width,G,0.0,3.302808001704977e+29,2.01575,1.1323913148702766e+31
hysteresis_width,mu,-0.0294,3.302808001704977e+29,1.00787,1.1323913148702766e+31
hysteresis_width,beta_trade_off,-0.0,3.4160854649478455e+29,2.01575,1.1712293022678368e+31
hysteresis_width,h_mean,0.0,3.507494743345264e+29,2.01575,1.2025696262898037e+31
hysteresis_width,r_mean,0.0294,0.02862,1.00787,0.98126
hysteresis_width,C_diag_mean,-0.0294,3.302808001704977e+29,1.00787,1.1323913148702766e+31
hysteresis_width,s,-0.0,0.0,0.0,0.0
hysteresis_width,c,0.0294,0.02862,1.00787,0.98126
hysteresis_width,c_prime,-0.0294,3.302808001704992e+29,1.00787,1.1323913148702867e+31
hysteresis_width,gamma,0.0,3.302808001704977e+29,2.01575,1.1323913148702766e+31
hysteresis_width,kappa,0.0294,0.02862,1.00787,0.98126
hysteresis_width,sigma,0.0,3.361758337661442e+29,2.01575,1.1526028586267787e+31
