output,parameter,S1,S1_conf,ST,ST_conf
d_collapse,nu,0.04059,0.16054,0.20018,0.2093
d_collapse,G,-0.02385,0.06952,0.03742,0.04572
d_collapse,q,0.23181,0.24117,0.60217,0.3408
d_collapse,mu,-0.09004,0.07365,0.03844,0.06421
d_collapse,beta_trade_off,0.028,0.25771,0.25334,0.23731
d_collapse,h_mean,-0.10474,0.18876,0.16255,0.12053
d_collapse,r_mean,0.04772,0.10006,0.07933,0.06509
d_collapse,C_diag_mean,0.02386,0.07672,0.04478,0.03604
d_recovery,nu,-0.00248,0.04738,0.02429,0.02715
d_recovery,G,0.00263,0.03695,0.03197,0.03952
d_recovery,q,0.65155,0.33604,0.8843,0.30761
d_recovery,mu,-0.03632,0.02313,0.0062,0.00395
d_recovery,beta_trade_off,0.04821,0.13646,0.1102,0.08793
d_recovery,h_mean,-0.03413,0.18133,0.10336,0.11775
d_recovery,r_mean,0.0943,0.09116,0.13648,0.10737
d_recovery,C_diag_mean,0.01605,0.03758,0.02671,0.03584
hysteresis_width,nu,0.02007,0.103,0.30036,0.27844
hysteresis_width,G,0.05679,0.07559,0.09923,0.11612
hysteresis_width,q,0.79972,0.56443,1.22309,0.52515
hysteresis_width,mu,-0.00109,0.04952,0.04905,0.05106
hysteresis_width,beta_trade_off,0.07502,0.28508,0.25815,0.20672
hysteresis_width,h_mean,0.04638,0.08556,0.16729,0.11388
hysteresis_width,r_mean,0.09675,0.1313,0.32697,0.34769
hysteresis_width,C_diag_mean,-0.01416,0.11452,0.11748,0.14342

output,param_i,param_j,S2,S2_conf
d_collapse,nu,G,-0.0753,0.3153
d_collapse,nu,q,0.08582,0.32529
d_collapse,nu,mu,-0.05322,0.291
d_collapse,nu,beta_trade_off,-0.02459,0.33802
d_collapse,nu,h_mean,0.00444,0.23842
d_collapse,nu,r_mean,-0.10393,0.33948
d_collapse,nu,C_diag_mean,-0.12233,0.35735
d_collapse,G,q,0.04324,0.10327
d_collapse,G,mu,0.02729,0.08528
d_collapse,G,beta_trade_off,0.07064,0.11852
d_collapse,G,h_mean,-0.00093,0.08547
d_collapse,G,r_mean,0.02606,0.08623
d_collapse,G,C_diag_mean,0.03629,0.11212
d_collapse,q,mu,0.30789,0.33188
d_collapse,q,beta_trade_off,0.33734,0.48545
d_collapse,q,h_mean,0.27436,0.33677
d_collapse,q,r_mean,0.19584,0.31015
d_collapse,q,C_diag_mean,0.25228,0.29443
d_collapse,mu,beta_trade_off,0.1054,0.08131
d_collapse,mu,h_mean,0.07923,0.07599
d_collapse,mu,r_mean,0.087,0.08544
d_collapse,mu,C_diag_mean,0.08373,0.08413
d_collapse,beta_trade_off,h_mean,0.08284,0.31078
d_collapse,beta_trade_off,r_mean,0.06484,0.30998
d_collapse,beta_trade_off,C_diag_mean,0.06934,0.31319
d_collapse,h_mean,r_mean,0.11239,0.21064
d_collapse,h_mean,C_diag_mean,0.11116,0.21457
d_collapse,r_mean,C_diag_mean,-0.08414,0.17704
d_recovery,nu,G,0.06731,0.12289
d_recovery,nu,q,0.05554,0.12912
d_recovery,nu,mu,0.06858,0.12407
d_recovery,nu,beta_trade_off,0.09171,0.11989
d_recovery,nu,h_mean,0.03977,0.12767
d_recovery,nu,r_mean,0.04902,0.10231
d_recovery,nu,C_diag_mean,0.06458,0.1233
d_recovery,G,q,-0.02228,0.05533
d_recovery,G,mu,0.01915,0.04404
d_recovery,G,beta_trade_off,0.04018,0.05404
d_recovery,G,h_mean,-0.01345,0.05348
d_recovery,G,r_mean,0.00779,0.05107
d_recovery,G,C_diag_mean,0.01452,0.04347
d_recovery,q,mu,0.0696,0.38178
d_recovery,q,beta_trade_off,0.12764,0.40416
d_recovery,q,h_mean,-0.00484,0.39324
d_recovery,q,r_mean,-0.03849,0.40981
d_recovery,q,C_diag_mean,0.00462,0.39789
d_recovery,mu,beta_trade_off,0.057,0.03835
d_recovery,mu,h_mean,0.0244,0.03728
d_recovery,mu,r_mean,0.04396,0.02928
d_recovery,mu,C_diag_mean,0.04144,0.02892
d_recovery,beta_trade_off,h_mean,0.04542,0.24769
d_recovery,beta_trade_off,r_mean,0.03912,0.2039
d_recovery,beta_trade_off,C_diag_mean,0.04038,0.24876
d_recovery,h_mean,r_mean,0.01142,0.22414
d_recovery,h_mean,C_diag_mean,0.07093,0.22434
d_recovery,r_mean,C_diag_mean,0.03901,0.24054
hysteresis_width,nu,G,0.07852,0.20816
hysteresis_width,nu,q,-0.0036,0.29938
hysteresis_width,nu,mu,0.1576,0.28403
hysteresis_width,nu,beta_trade_off,0.11122,0.19343
hysteresis_width,nu,h_mean,-0.00284,0.1708
hysteresis_width,nu,r_mean,0.07472,0.20293
hysteresis_width,nu,C_diag_mean,0.05267,0.14282
hysteresis_width,G,q,-0.19473,0.14382
hysteresis_width,G,mu,-0.05482,0.14337
hysteresis_width,G,beta_trade_off,-0.05634,0.1147
hysteresis_width,G,h_mean,-0.08067,0.16049
hysteresis_width,G,r_mean,-0.04037,0.12792
hysteresis_width,G,C_diag_mean,-0.03277,0.10537
hysteresis_width,q,mu,-0.33783,0.62618
hysteresis_width,q,beta_trade_off,-0.20552,0.68242
hysteresis_width,q,h_mean,-0.24506,0.72839
hysteresis_width,q,r_mean,-0.34771,0.64073
hysteresis_width,q,C_diag_mean,-0.44732,0.5676
hysteresis_width,mu,beta_trade_off,0.01536,0.06995
hysteresis_width,mu,h_mean,0.00167,0.0743
hysteresis_width,mu,r_mean,0.01079,0.07516
hysteresis_width,mu,C_diag_mean,0.02144,0.06438
hysteresis_width,beta_trade_off,h_mean,-0.13485,0.29627
hysteresis_width,beta_trade_off,r_mean,-0.14398,0.28645
hysteresis_width,beta_trade_off,C_diag_mean,-0.11584,0.29413
hysteresis_width,h_mean,r_mean,-0.1707,0.20053
hysteresis_width,h_mean,C_diag_mean,-0.06957,0.10604
hysteresis_width,r_mean,C_diag_mean,-0.01115,0.17145
