output,parameter,S1,S1_conf,ST,ST_conf
d_collapse,nu,0.04457,0.12216,0.15171,0.14019
d_collapse,G,0.03258,0.08778,0.02012,0.01724
d_collapse,q,0.41761,0.42234,0.74584,0.37748
d_collapse,mu,-0.04336,0.09954,0.01672,0.01076
d_collapse,beta_trade_off,0.2096,0.35085,0.31177,0.18661
d_collapse,h_mean,0.01979,0.22599,0.13623,0.08512
d_collapse,r_mean,0.05475,0.11146,0.10805,0.08832
d_collapse,C_diag_mean,-0.00394,0.10841,0.05666,0.05606
d_collapse,s,-0.02723,0.07198,0.03777,0.02469
d_collapse,c,0.01336,0.05449,0.01455,0.01318
d_collapse,c_prime,0.00032,0.06983,0.01765,0.01281
d_collapse,gamma,-0.03868,0.07731,0.01331,0.01467
d_collapse,kappa,-0.00897,0.02373,0.01393,0.01327
d_collapse,sigma,-0.09599,0.17605,0.09226,0.05766
d_recovery,nu,0.1097,0.25173,0.10033,0.12701
d_recovery,G,0.1127,0.22004,0.05828,0.08811
d_recovery,q,0.46843,0.29929,0.85864,0.38588
d_recovery,mu,-0.01347,0.04665,0.00624,0.00491
d_recovery,beta_trade_off,0.1408,0.19773,0.26679,0.17881
d_recovery,h_mean,0.14818,0.23692,0.13188,0.11113
d_recovery,r_mean,0.16039,0.34647,0.22811,0.20472
d_recovery,C_diag_mean,0.08611,0.25584,0.08216,0.11243
d_recovery,s,-0.00081,0.04691,0.04152,0.03602
d_recovery,c,0.13127,0.21486,0.0499,0.08954
d_recovery,c_prime,0.11868,0.21946,0.05329,0.08919
d_recovery,gamma,0.09973,0.23602,0.05988,0.10019
d_recovery,kappa,-0.00758,0.01513,0.00517,0.00466
d_recovery,sigma,-0.14548,0.17172,0.07681,0.05249
hysteresis_width,nu,0.51702,0.92246,0.83619,0.4852
hysteresis_width,G,0.54449,0.84188,0.29596,0.37986
hysteresis_width,q,0.05564,0.20627,1.28013,1.55061
hysteresis_width,mu,0.00964,0.02717,0.05575,0.08368
hysteresis_width,beta_trade_off,0.10773,0.32327,0.48246,0.75047
hysteresis_width,h_mean,0.57758,0.88074,0.74598,0.63948
hysteresis_width,r_mean,0.66962,1.05997,0.5605,0.57442
hysteresis_width,C_diag_mean,0.46427,0.74239,0.22907,0.29166
hysteresis_width,s,-0.00565,0.06417,0.19156,0.21819
hysteresis_width,c,0.47397,0.73729,0.21792,0.30086
hysteresis_width,c_prime,0.46844,0.74048,0.21285,0.30087
hysteresis_width,gamma,0.5045,0.79598,0.25846,0.33746
hysteresis_width,kappa,0.00098,0.03377,0.02027,0.02701
hysteresis_width,sigma,-0.0642,0.15428,0.47131,0.67153

output,param_i,param_j,S2,S2_conf
d_collapse,nu,G,-0.14214,0.22812
d_collapse,nu,q,-0.04926,0.14934
d_collapse,nu,mu,-0.07279,0.12073
d_collapse,nu,beta_trade_off,-0.25545,0.42873
d_collapse,nu,h_mean,-0.05111,0.09663
d_collapse,nu,r_mean,-0.10189,0.16522
d_collapse,nu,C_diag_mean,-0.12852,0.23438
d_collapse,nu,s,-0.09384,0.14459
d_collapse,nu,c,-0.10251,0.16076
d_collapse,nu,c_prime,-0.09322,0.14689
d_collapse,nu,gamma,-0.07898,0.13388
d_collapse,nu,kappa,-0.11365,0.17842
d_collapse,nu,sigma,-0.03254,0.09771
d_collapse,G,q,-0.07159,0.09291
d_collapse,G,mu,-0.03815,0.09033
d_collapse,G,beta_trade_off,-0.02391,0.09962
d_collapse,G,h_mean,-0.04558,0.08461
d_collapse,G,r_mean,-0.0301,0.09416
d_collapse,G,C_diag_mean,-0.02267,0.10328
d_collapse,G,s,-0.04063,0.08711
d_collapse,G,c,-0.03506,0.0903
d_collapse,G,c_prime,-0.03506,0.0903
d_collapse,G,gamma,-0.0332,0.09222
d_collapse,G,kappa,-0.03815,0.09033
d_collapse,G,sigma,-0.03258,0.0967
d_collapse,q,mu,-0.00187,0.5917
d_collapse,q,beta_trade_off,0.04828,0.55648
d_collapse,q,h_mean,0.01299,0.67261
d_collapse,q,r_mean,-0.04832,0.62352
d_collapse,q,C_diag_mean,0.01918,0.56516
d_collapse,q,s,-0.01674,0.5828
d_collapse,q,c,-0.00869,0.60854
d_collapse,q,c_prime,0.00679,0.6143
d_collapse,q,gamma,0.00432,0.59932
d_collapse,q,kappa,0.00679,0.59307
d_collapse,q,sigma,0.0489,0.58444
d_collapse,mu,beta_trade_off,0.03627,0.11226
d_collapse,mu,h_mean,0.03751,0.1084
d_collapse,mu,r_mean,0.0245,0.11011
d_collapse,mu,C_diag_mean,0.03565,0.10915
d_collapse,mu,s,0.04184,0.10387
d_collapse,mu,c,0.03689,0.10766
d_collapse,mu,c_prime,0.03503,0.10652
d_collapse,mu,gamma,0.03689,0.10649
d_collapse,mu,kappa,0.03751,0.10554
d_collapse,mu,sigma,0.03565,0.10907
d_collapse,beta_trade_off,h_mean,-0.10476,0.3172
d_collapse,beta_trade_off,r_mean,-0.21498,0.47038
d_collapse,beta_trade_off,C_diag_mean,-0.2478,0.56903
d_collapse,beta_trade_off,s,-0.19269,0.43463
d_collapse,beta_trade_off,c,-0.19703,0.46444
d_collapse,beta_trade_off,c_prime,-0.18898,0.43943
d_collapse,beta_trade_off,gamma,-0.17164,0.41243
d_collapse,beta_trade_off,kappa,-0.22613,0.48373
