output,parameter,S1,S1_conf,ST,ST_conf
d_collapse,nu,0.27808,0.21051,0.39285,0.20225
d_collapse,G,0.04171,0.11904,0.10911,0.06094
d_collapse,q,0.19964,0.1935,0.39347,0.19062
d_collapse,mu,0.08013,0.10461,0.07254,0.04584
d_collapse,beta_trade_off,0.38943,0.25002,0.56727,0.30251
d_recovery,nu,0.01879,0.16281,0.21878,0.10891
d_recovery,G,0.08083,0.14087,0.14901,0.11343
d_recovery,q,0.33577,0.30887,0.6637,0.21937
d_recovery,mu,0.02567,0.13677,0.13863,0.0973
d_recovery,beta_trade_off,0.34323,0.20813,0.41534,0.21122
hysteresis_width,nu,-0.13529,0.25821,0.61436,0.25694
hysteresis_width,G,-0.00854,0.20911,0.33215,0.15893
hysteresis_width,q,0.18672,0.4246,0.77842,0.26772
hysteresis_width,mu,-0.09314,0.17783,0.2695,0.1691
hysteresis_width,beta_trade_off,-0.0511,0.20819,0.39945,0.23097
