output,parameter,S1,S1_conf,ST,ST_conf
d_collapse,nu,0.17394,0.17713,0.31891,0.21418
d_collapse,G,0.08946,0.08278,0.09263,0.05703
d_collapse,q,0.24353,0.2092,0.39175,0.17576
d_collapse,mu,0.13821,0.11504,0.11127,0.07533
d_collapse,beta_trade_off,0.29641,0.26165,0.94266,0.49528
d_collapse,s,0.0602,0.10485,0.11271,0.09237
d_collapse,c,0.05794,0.13469,0.17465,0.15235
d_collapse,c_prime,0.06503,0.10238,0.10181,0.068
d_collapse,gamma,0.04589,0.12235,0.11127,0.06827
d_collapse,kappa,0.02545,0.08775,0.07915,0.05924
d_collapse,sigma,0.35633,0.17008,0.5317,0.30052
d_recovery,nu,-0.00757,0.2349,0.40996,0.23704
d_recovery,G,0.04748,0.11833,0.1444,0.13056
d_recovery,q,0.33975,0.30488,0.63148,0.26494
d_recovery,mu,0.07298,0.22717,0.33509,0.23361
d_recovery,beta_trade_off,0.3231,0.18977,0.70762,0.28441
d_recovery,s,-0.04908,0.13916,0.23264,0.20142
d_recovery,c,0.13246,0.11848,0.1572,0.14868
d_recovery,c_prime,-0.05125,0.11579,0.14228,0.10307
d_recovery,gamma,0.05429,0.12349,0.22447,0.1744
d_recovery,kappa,-0.10685,0.19097,0.19126,0.13415
d_recovery,sigma,0.14698,0.15388,0.29625,0.18244
hysteresis_width,nu,-0.12332,0.45245,0.63634,0.32413
hysteresis_width,G,0.0102,0.11468,0.23631,0.24776
hysteresis_width,q,0.21263,0.28065,0.66191,0.52472
hysteresis_width,mu,-0.07885,0.49519,0.62314,0.29697
hysteresis_width,beta_trade_off,0.08618,0.29571,0.74769,0.45177
hysteresis_width,s,-0.12753,0.19542,0.47591,0.4908
hysteresis_width,c,0.16211,0.21615,0.32085,0.22942
hysteresis_width,c_prime,-0.07855,0.0931,0.26559,0.27976
hysteresis_width,gamma,0.0252,0.12032,0.30394,0.30043
hysteresis_width,kappa,-0.25057,0.4066,0.43509,0.29203
hysteresis_width,sigma,-0.16365,0.23818,0.65449,0.6076
